phase,dataset,split,protocol,model,seed,config_tag,auroc_mean,auroc_std,ap_mean,ap_std,brier_mean,brier_std,ece_mean,ece_std
PHASE1_MAIN_EXT,EICU,S1,P0,extratrees,3036,PHASE1_MAIN_EXT,0.8388876583685143,0.04125480604649613,0.3181615171366056,0.0787339189751013,0.03278065967994004,0.0009668003800756264,0.010315805688562519,0.006895151530313697
PHASE1_MAIN_EXT,EICU,S1,P0,lr_l2,3036,PHASE1_MAIN_EXT,0.8113483603180489,0.0735886796604082,0.24895254013934326,0.06836413972308453,0.03402924920540294,0.0020764883926710576,0.012104356249604898,0.004778642980943294
PHASE1_MAIN_EXT,EICU,S1,P0,rf,3036,PHASE1_MAIN_EXT,0.8402207970953214,0.04584642237041084,0.3538359120166121,0.10537345216335614,0.030988289980954865,0.002847544250195741,0.012868982826272312,0.00482208369906711
PHASE1_MAIN_EXT,EICU,S1,P0,svm_linear_cal,3036,PHASE1_MAIN_EXT,0.8065278618000941,0.07845106283574792,0.23770007716526892,0.06583877595200743,0.035416085956537745,0.0015372352867447166,0.009044525629292383,0.008656662066711127
PHASE1_MAIN_EXT,EICU,S1,P0,xgb,3036,PHASE1_MAIN_EXT,0.8351616643574081,0.05241357616736432,0.3584896191387786,0.09339613391606853,0.030818766746574182,0.00253852645868975,0.01860325135443898,0.0035534625874215076
PHASE1_MAIN_EXT,EICU,S1,P1,extratrees,3036,PHASE1_MAIN_EXT,0.8432283975914325,0.04251255336478003,0.3373159044225922,0.10979261366083187,0.03245079659914763,0.0022517016871271725,0.012925346960469241,0.009231467190145233
PHASE1_MAIN_EXT,EICU,S1,P1,lr_l2,3036,PHASE1_MAIN_EXT,0.8116968794653795,0.07218522399845141,0.24815279206113558,0.06898771294662728,0.03399923483430791,0.002117002685622339,0.011182540631819959,0.004845232743968955
PHASE1_MAIN_EXT,EICU,S1,P1,rf,3036,PHASE1_MAIN_EXT,0.8431014073466946,0.045609792704404135,0.3539130092928851,0.10029339246139696,0.03100225523765977,0.002837304645017989,0.011891266835605253,0.004355065117641511
PHASE1_MAIN_EXT,EICU,S1,P1,svm_linear_cal,3036,PHASE1_MAIN_EXT,0.8065758304115249,0.07800181884739214,0.23720284695843633,0.0649439504077874,0.035403576913684384,0.0015515164061856229,0.008125827462662114,0.00646318187192312
PHASE1_MAIN_EXT,EICU,S1,P1,xgb,3036,PHASE1_MAIN_EXT,0.8342760610121275,0.049214873948360736,0.356604525686329,0.09907358364873636,0.03099977248216671,0.003037287968141289,0.01761084490234773,0.004731688633686081
PHASE1_MAIN_EXT,EICU,S1,P2,extratrees,3036,PHASE1_MAIN_EXT,0.8388876583685143,0.04125480604649613,0.3181615171366056,0.0787339189751013,0.03278065967994004,0.0009668003800756264,0.010315805688562519,0.006895151530313697
PHASE1_MAIN_EXT,EICU,S1,P2,lr_l2,3036,PHASE1_MAIN_EXT,0.8145663011966946,0.07157982955397801,0.2693016612073495,0.06353961106973416,0.03339194147107171,0.0017541921486015565,0.012098306941109721,0.004695277577094598
PHASE1_MAIN_EXT,EICU,S1,P2,rf,3036,PHASE1_MAIN_EXT,0.8409646005850121,0.0463815717679637,0.3546368499860993,0.10969080252579083,0.03098683656674479,0.002871238055255682,0.012604217725700745,0.004678447898750032
PHASE1_MAIN_EXT,EICU,S1,P2,svm_linear_cal,3036,PHASE1_MAIN_EXT,0.8090271299928229,0.07632467495178215,0.24062062995807235,0.06552859059007127,0.03482199467616718,0.0017702281888848958,0.013471513440456629,0.005908857781249937
PHASE1_MAIN_EXT,EICU,S1,P2,xgb,3036,PHASE1_MAIN_EXT,0.8351616643574081,0.05241357616736432,0.3584896191387786,0.09339613391606853,0.030818766746574182,0.00253852645868975,0.01860325135443898,0.0035534625874215076
PHASE1_MAIN_EXT,EICU,S1,P3,extratrees,3036,PHASE1_MAIN_EXT,0.809899310095471,0.05568318705538296,0.33285794359332277,0.12941890958110655,0.033275969119708516,0.002353614963303974,0.009983624095419547,0.0049839356455924425
PHASE1_MAIN_EXT,EICU,S1,P3,lr_l2,3036,PHASE1_MAIN_EXT,0.778037196679438,0.04204532771004836,0.27649686218745595,0.12370960168486403,0.03354441550626549,0.00412914340697781,0.012232963859227241,0.0025789509750457624
PHASE1_MAIN_EXT,EICU,S1,P3,rf,3036,PHASE1_MAIN_EXT,0.8203343532558376,0.06780388093015867,0.3583756420876111,0.11992041773328367,0.03140880236035024,0.003729714287248387,0.011918025103424578,0.006513826699348855
PHASE1_MAIN_EXT,EICU,S1,P3,svm_linear_cal,3036,PHASE1_MAIN_EXT,0.769151712049559,0.05972872112345064,0.3016803302353667,0.1297113066643731,0.035291486992337785,0.0015929822580420313,0.006897180007823714,0.00308141513087503
PHASE1_MAIN_EXT,EICU,S1,P3,xgb,3036,PHASE1_MAIN_EXT,0.8144570545678868,0.07169519317127208,0.33704918977117565,0.12712825441865924,0.03174830617165909,0.0041551273350944875,0.017211492195829004,0.007933400726605448
PHASE1_MAIN_EXT,EICU,S2,P0,extratrees,3036,PHASE1_MAIN_EXT,0.8016215567073306,0.0688573507181776,0.31378153779565016,0.12627167712878248,0.03374573783038125,0.00978084289763312,0.016419908468008105,0.00961827806634523
PHASE1_MAIN_EXT,EICU,S2,P0,lr_l2,3036,PHASE1_MAIN_EXT,0.8036093904635602,0.05918304911246857,0.30372966656690015,0.057170271674464174,0.03299190020102535,0.01010716740635325,0.024367076505236233,0.010055686749534075
PHASE1_MAIN_EXT,EICU,S2,P0,rf,3036,PHASE1_MAIN_EXT,0.816601110216846,0.0586733302510181,0.3171832090868707,0.10045481651344407,0.03348716810655902,0.010644603063072125,0.018899069455302685,0.006780136360730134
PHASE1_MAIN_EXT,EICU,S2,P0,svm_linear_cal,3036,PHASE1_MAIN_EXT,0.7909038384020448,0.04880806429843574,0.2560364186349913,0.05755855484902681,0.03517394583327268,0.011586894095239138,0.017389602564333022,0.010114123738942596
PHASE1_MAIN_EXT,EICU,S2,P0,xgb,3036,PHASE1_MAIN_EXT,0.8327646743168693,0.02524597292372202,0.3323367709185052,0.05318298694993464,0.0324671092690232,0.010811623082075473,0.02322183729939154,0.010502940768523247
PHASE1_MAIN_EXT,EICU,S2,P1,extratrees,3036,PHASE1_MAIN_EXT,0.8132957918426401,0.06308285825071173,0.31058077551213215,0.1334884630705858,0.03441063782921494,0.010220121476404678,0.01646118151444859,0.009836472889761087
PHASE1_MAIN_EXT,EICU,S2,P1,lr_l2,3036,PHASE1_MAIN_EXT,0.8033074764403547,0.057925419072565335,0.3012351012142115,0.052196883006785384,0.03307762803714446,0.010130356014420317,0.025240922094033558,0.012363692623695452
PHASE1_MAIN_EXT,EICU,S2,P1,rf,3036,PHASE1_MAIN_EXT,0.8115248236953312,0.06267340725610053,0.32299289763481887,0.10251489722202642,0.03319021816685492,0.010462772647816384,0.02003117352464563,0.007008426549665113
PHASE1_MAIN_EXT,EICU,S2,P1,svm_linear_cal,3036,PHASE1_MAIN_EXT,0.7889216787876996,0.04756573420200529,0.2547492019629035,0.05773917304322335,0.03521532261660578,0.011580075982385226,0.01735693512263366,0.010079607955264741
PHASE1_MAIN_EXT,EICU,S2,P1,xgb,3036,PHASE1_MAIN_EXT,0.8256037286827571,0.023990080366200713,0.3189610218931313,0.06264249414350179,0.03275529373219681,0.010979149211760743,0.024371404823233654,0.009790230883631875
PHASE1_MAIN_EXT,EICU,S2,P2,extratrees,3036,PHASE1_MAIN_EXT,0.8016215567073306,0.0688573507181776,0.31378153779565016,0.12627167712878248,0.03374573783038125,0.00978084289763312,0.016419908468008105,0.00961827806634523
PHASE1_MAIN_EXT,EICU,S2,P2,lr_l2,3036,PHASE1_MAIN_EXT,0.8045045502743328,0.06167023713270796,0.3031439749155802,0.05981955560206474,0.03271416644973214,0.009800939346408388,0.022811359419689144,0.0113260275150511
PHASE1_MAIN_EXT,EICU,S2,P2,rf,3036,PHASE1_MAIN_EXT,0.8169549000389505,0.059222543854712095,0.31730582513522626,0.09893424569231941,0.033490947283201886,0.010654949524776755,0.018927783360460037,0.006715759147523995
PHASE1_MAIN_EXT,EICU,S2,P2,svm_linear_cal,3036,PHASE1_MAIN_EXT,0.7903759024417368,0.04824876962408359,0.26780617598084067,0.05468523260310954,0.034852196524139026,0.01143539158158541,0.01738740485614372,0.01030638360206815
PHASE1_MAIN_EXT,EICU,S2,P2,xgb,3036,PHASE1_MAIN_EXT,0.8327646743168693,0.02524597292372202,0.3323367709185052,0.05318298694993464,0.0324671092690232,0.010811623082075473,0.02322183729939154,0.010502940768523247
PHASE1_MAIN_EXT,EICU,S2,P3,extratrees,3036,PHASE1_MAIN_EXT,0.8035618681964058,0.04357865224667043,0.2990454686984125,0.09416566474405685,0.032925037945799,0.009474679829863521,0.015192300392303917,0.006767808061719805
PHASE1_MAIN_EXT,EICU,S2,P3,lr_l2,3036,PHASE1_MAIN_EXT,0.7826935637642387,0.051916501336528004,0.2781190838582762,0.10527988909631308,0.033973231065422285,0.009820989818029306,0.02095125263645838,0.004471476271028592
PHASE1_MAIN_EXT,EICU,S2,P3,rf,3036,PHASE1_MAIN_EXT,0.7970065793770085,0.046792651499187286,0.3034737451486362,0.10015861490337956,0.03228816675216693,0.008851793006041681,0.01595263089950117,0.0035515811478539425
PHASE1_MAIN_EXT,EICU,S2,P3,svm_linear_cal,3036,PHASE1_MAIN_EXT,0.7765690678538891,0.05540341805134372,0.2887035604819843,0.10997365745464315,0.035010235290223124,0.010727471716090222,0.014655930192423177,0.0066410455931991096
PHASE1_MAIN_EXT,EICU,S2,P3,xgb,3036,PHASE1_MAIN_EXT,0.8008470359765836,0.051753269999012884,0.2929523221797864,0.09015695343960553,0.032767488645646645,0.008763450314099027,0.020766716970344865,0.00316764540613029
PHASE2_REPRO_EXT,EICU,S1,P0,extratrees,1001,PHASE2_REPRO_EXT,0.846998966796549,0.022000070815159218,0.35952015213861,0.062203813633373274,0.032806951351245596,0.0019641880292372454,0.01376688406405473,0.008096966708574968
PHASE2_REPRO_EXT,EICU,S1,P0,extratrees,1002,PHASE2_REPRO_EXT,0.844583330622936,0.047926392173273054,0.3538815061319177,0.07874638709605356,0.03253455444121107,0.00155275220614115,0.012750847972629667,0.006583693880399232
PHASE2_REPRO_EXT,EICU,S1,P0,extratrees,1003,PHASE2_REPRO_EXT,0.8334199522102749,0.04050998500229206,0.3497830562020711,0.06639770971112442,0.03259558009887888,0.0013030299193102877,0.01435593645326812,0.003057401066086491
PHASE2_REPRO_EXT,EICU,S1,P0,extratrees,1004,PHASE2_REPRO_EXT,0.8374484292705562,0.060641361833628483,0.3189671728510688,0.06606707939071262,0.03337004236117145,0.0013235054611549393,0.013272586882676999,0.007127253125640329
PHASE2_REPRO_EXT,EICU,S1,P0,extratrees,1005,PHASE2_REPRO_EXT,0.8287974942919032,0.04157958375446954,0.3565947628575624,0.09424117073890684,0.032316284209059846,0.0025445144118329613,0.014954003023744783,0.008169565724945422
PHASE2_REPRO_EXT,EICU,S1,P0,extratrees,1006,PHASE2_REPRO_EXT,0.833878219409914,0.05952389177965672,0.33212673821543154,0.10714870660260412,0.033597826097051774,0.0013496276555614297,0.013060934086331346,0.005069946262323232
PHASE2_REPRO_EXT,EICU,S1,P0,extratrees,1007,PHASE2_REPRO_EXT,0.8266633762443434,0.02925475695212378,0.36795077290113853,0.05022556439246476,0.03241069240929765,0.0009051386825001175,0.013653660803232395,0.005347320950883963
PHASE2_REPRO_EXT,EICU,S1,P0,extratrees,1008,PHASE2_REPRO_EXT,0.8290078455160271,0.05303104118031007,0.3195776914259705,0.053188086449627275,0.032994518702470055,0.0008530301240795439,0.010912419713331954,0.0033975550972218486
PHASE2_REPRO_EXT,EICU,S1,P0,extratrees,1009,PHASE2_REPRO_EXT,0.8517898054368402,0.056851477262688604,0.36275018580976914,0.07656020630285809,0.03269471873407347,0.0017453159359543502,0.01616944424127211,0.005929783353813405
PHASE2_REPRO_EXT,EICU,S1,P0,extratrees,1010,PHASE2_REPRO_EXT,0.8280034075114866,0.05117125241482732,0.3492131998056493,0.08497421906837807,0.03262413604212239,0.0023737226406058028,0.014805116326640635,0.010067366722471108
PHASE2_REPRO_EXT,EICU,S1,P0,extratrees,1011,PHASE2_REPRO_EXT,0.8340334736777055,0.04002329294542374,0.31207801913722977,0.07975068653154574,0.033432914619050916,0.0014487835987175735,0.011640996091325701,0.005935165751885541
PHASE2_REPRO_EXT,EICU,S1,P0,extratrees,1012,PHASE2_REPRO_EXT,0.8392732625269141,0.07825008236082955,0.378966053140516,0.08201915144089655,0.03186475256313864,0.002518553297068674,0.011352289025636736,0.006647275221207775
PHASE2_REPRO_EXT,EICU,S1,P0,extratrees,1013,PHASE2_REPRO_EXT,0.8482557671833767,0.05760175517343857,0.350053597568213,0.1186514900887847,0.03208044467047336,0.0030632427987545992,0.019842629531688992,0.005193078564628414
PHASE2_REPRO_EXT,EICU,S1,P0,extratrees,1014,PHASE2_REPRO_EXT,0.8307736856199328,0.044302966082488765,0.3253738689076509,0.0957601791122008,0.03312020590544252,0.002063555717064774,0.0124059095695463,0.0037289835067797314
PHASE2_REPRO_EXT,EICU,S1,P0,extratrees,1015,PHASE2_REPRO_EXT,0.8219351396505106,0.059440922109885164,0.2982499878307524,0.03698829538747941,0.03346661314272832,0.001303297176410834,0.01281480685945437,0.004207185767141187
PHASE2_REPRO_EXT,EICU,S1,P0,extratrees,1016,PHASE2_REPRO_EXT,0.8299904621118982,0.07644237730187713,0.3211746311485231,0.1374631333946479,0.03289709625698766,0.0028100073929345853,0.013502562077429597,0.011490938566161133
PHASE2_REPRO_EXT,EICU,S1,P0,extratrees,1017,PHASE2_REPRO_EXT,0.8488327565607877,0.06594949689661214,0.3378058134221552,0.12729333434461537,0.03270421656098151,0.002437672710807195,0.01255538826384447,0.007573249545769398
PHASE2_REPRO_EXT,EICU,S1,P0,extratrees,1018,PHASE2_REPRO_EXT,0.8455814534017655,0.06666581676270114,0.3198514344748985,0.09791103196715255,0.03280933887038759,0.0017151014825220968,0.016401933966331512,0.008087985740004838
PHASE2_REPRO_EXT,EICU,S1,P0,extratrees,1019,PHASE2_REPRO_EXT,0.8515881410360656,0.03664046681003005,0.347934011603199,0.07937053535147413,0.03209799426562391,0.0015490384562318379,0.014295884487378906,0.009376702843149329
PHASE2_REPRO_EXT,EICU,S1,P0,extratrees,1020,PHASE2_REPRO_EXT,0.8363484199467894,0.055123397289119525,0.35965303782031716,0.08195488818923048,0.03258453087809617,0.001045251678628228,0.015440250407973768,0.008687623353597339
PHASE2_REPRO_EXT,EICU,S1,P0,lr_l2,1001,PHASE2_REPRO_EXT,0.8122007423236127,0.06010953587182757,0.2637219307751225,0.04965455696851202,0.03341477373273444,0.0015526055566543195,0.012039528154716572,0.004786511197643064
PHASE2_REPRO_EXT,EICU,S1,P0,lr_l2,1002,PHASE2_REPRO_EXT,0.83005863402481,0.03903782625007688,0.2911708345545958,0.09220889615742499,0.03300956517304929,0.0015700295037324912,0.011036231748605227,0.00520764587309516
PHASE2_REPRO_EXT,EICU,S1,P0,lr_l2,1003,PHASE2_REPRO_EXT,0.7832406323248488,0.02996431768818567,0.287240737354436,0.08480578470055798,0.03434370995567735,0.0014256051365283359,0.014063611609912097,0.0042574711833697505
PHASE2_REPRO_EXT,EICU,S1,P0,lr_l2,1004,PHASE2_REPRO_EXT,0.8135473517250051,0.06919406839677134,0.2845545450076824,0.0777077670557931,0.03303819151746241,0.0023336582973579136,0.009320660376700235,0.0026763247682913206
PHASE2_REPRO_EXT,EICU,S1,P0,lr_l2,1005,PHASE2_REPRO_EXT,0.817015137026846,0.03252468256220217,0.28387862798291574,0.05477200841376608,0.03406171682894911,0.001926929372258581,0.019596114571724638,0.004747765146272992
PHASE2_REPRO_EXT,EICU,S1,P0,lr_l2,1006,PHASE2_REPRO_EXT,0.8110852999976149,0.03669335984321206,0.2621903123879253,0.09245939446755239,0.03370150747429017,0.0029254716102317707,0.011096138958835478,0.003823803946622391
PHASE2_REPRO_EXT,EICU,S1,P0,lr_l2,1007,PHASE2_REPRO_EXT,0.8099379861097559,0.03917674552425828,0.2552352242988033,0.08601171215214709,0.03345771470044454,0.0023120545033767414,0.007646166791753522,0.0037595153422871922
PHASE2_REPRO_EXT,EICU,S1,P0,lr_l2,1008,PHASE2_REPRO_EXT,0.7988047554462723,0.06348514636337468,0.2539765679991075,0.08637023383972711,0.03448262159417933,0.0010474492886387128,0.012720286506649326,0.007374716193462827
PHASE2_REPRO_EXT,EICU,S1,P0,lr_l2,1009,PHASE2_REPRO_EXT,0.8003086952797889,0.0537877829031393,0.27542877394430715,0.09122675203417079,0.034075223251917794,0.0034378940952614935,0.01228053224845092,0.004890225622882698
PHASE2_REPRO_EXT,EICU,S1,P0,lr_l2,1010,PHASE2_REPRO_EXT,0.7914358302597427,0.04921973682220341,0.28878582892960036,0.13103402067265305,0.033214630040403745,0.0046869784457411095,0.012970573677173317,0.0019284743371218401
PHASE2_REPRO_EXT,EICU,S1,P0,lr_l2,1011,PHASE2_REPRO_EXT,0.8123140965595301,0.054070884832917894,0.27113626002954877,0.09356141501294511,0.03432564835208966,0.0013671259483914908,0.01207798562469346,0.005329379086883108
PHASE2_REPRO_EXT,EICU,S1,P0,lr_l2,1012,PHASE2_REPRO_EXT,0.8114124151374605,0.05244641631010584,0.296282174865778,0.07773593740907139,0.033340729812613115,0.0018398033046681862,0.014185754443096518,0.00743755536306688
PHASE2_REPRO_EXT,EICU,S1,P0,lr_l2,1013,PHASE2_REPRO_EXT,0.8410902573142781,0.04187845885827851,0.26853309065004194,0.10658089741447355,0.034300443785749916,0.005322410135429336,0.016592756601796283,0.0041932782943145995
PHASE2_REPRO_EXT,EICU,S1,P0,lr_l2,1014,PHASE2_REPRO_EXT,0.7792899870334593,0.09416376931338867,0.27810446319664417,0.13706914579117566,0.03333246331173567,0.003483382545010336,0.014158171281187895,0.0075751182786019805
PHASE2_REPRO_EXT,EICU,S1,P0,lr_l2,1015,PHASE2_REPRO_EXT,0.8129112540032567,0.0762845705544487,0.27509340011801886,0.06258326585917774,0.03430035940453855,0.0011403094198826947,0.012402717373884115,0.006989945483318983
PHASE2_REPRO_EXT,EICU,S1,P0,lr_l2,1016,PHASE2_REPRO_EXT,0.7897331613857286,0.057778189939663674,0.2136636234055012,0.06537393277005474,0.03560776930691452,0.00221680071818004,0.011849920875494377,0.005419243948574144
PHASE2_REPRO_EXT,EICU,S1,P0,lr_l2,1017,PHASE2_REPRO_EXT,0.8463797169044227,0.06333211524342273,0.275991529995546,0.09915324833024503,0.03426893959840481,0.0035330411819136528,0.012969292374461528,0.011404313229421975
PHASE2_REPRO_EXT,EICU,S1,P0,lr_l2,1018,PHASE2_REPRO_EXT,0.8085280889313878,0.06921050656871215,0.2270451880645124,0.06082145280367588,0.034111393624000765,0.0020588499211953906,0.010171741919241948,0.005208508559420047
PHASE2_REPRO_EXT,EICU,S1,P0,lr_l2,1019,PHASE2_REPRO_EXT,0.7946070465993188,0.06056155224338358,0.2408415649739107,0.08797528363250014,0.03470644458524278,0.001925973660560143,0.016077409581667125,0.009089832556003012
