split,seed,miss_rate,winner_model,winner_auc,winner_ap,winner_brier
S1,1001,0.0,xgb,0.962313061884726,0.5913195439228455,0.01545715539667864
S1,1001,0.05,xgb,0.9571336351234221,0.5602808738796341,0.016231288368618542
S1,1001,0.1,xgb,0.9566365739322744,0.5492995872472163,0.016368215678497323
S1,1001,0.2,xgb,0.952984472316803,0.5192182623764016,0.017001404221496923
S1,1001,0.3,xgb,0.9425457510426506,0.48684325101406517,0.01762389846973456
S1,1001,0.4,xgb,0.9315276671999749,0.40364941924274217,0.01922864718992926
S1,1001,0.5,xgb,0.9307977920022312,0.41949419141152927,0.018832498191261
S1,1001,0.6,xgb,0.9023386844585847,0.35369607889951754,0.02005360367011886
S1,1001,0.7,xgb,0.896915229925518,0.33102007577554987,0.020523736508955802
S1,1002,0.0,xgb,0.9584969325772527,0.5790484732174256,0.015809888004459222
S1,1002,0.05,xgb,0.9569256748635666,0.5520920394568507,0.01638866016186998
S1,1002,0.1,xgb,0.9547271843030891,0.5378790105630623,0.01677998563239308
S1,1002,0.2,xgb,0.9500696080127469,0.5023951836076519,0.01739371189785262
S1,1002,0.3,xgb,0.9412041871887725,0.4611960618732812,0.0182116915771314
S1,1002,0.4,xgb,0.9439284502807169,0.44923303107173485,0.01855926265333942
S1,1002,0.5,xgb,0.9280531405247048,0.395092972588973,0.0193352116442685
S1,1002,0.6,xgb,0.9191332853580765,0.3792486184723593,0.01975334365118496
S1,1002,0.7,xgb,0.8928379754008233,0.288581178900968,0.021191792861349378
S1,1003,0.0,xgb,0.9571849044342258,0.5708281837437431,0.01594735967966586
S1,1003,0.05,xgb,0.9571436770516328,0.5570341405641116,0.01638601999110978
S1,1003,0.1,xgb,0.9556314843137359,0.558312164205937,0.01606703054529884
S1,1003,0.2,xgb,0.9539916037005316,0.5019757422393749,0.0174893660775295
S1,1003,0.3,xgb,0.9413212177562938,0.4691746043773072,0.017953805315705278
S1,1003,0.4,xgb,0.9342236302902232,0.47174604548305005,0.01777862043251302
S1,1003,0.5,xgb,0.9255505441356615,0.43248195452079585,0.018623613835017018
S1,1003,0.6,xgb,0.9204790224293525,0.3522224011543599,0.02023693191586076
S1,1003,0.7,xgb,0.8985427508682859,0.30936886225203364,0.02083347663293488
S1,1004,0.0,xgb,0.9584979903511458,0.5660304943333649,0.0158589974583506
S1,1004,0.05,xgb,0.9579990774739429,0.5420573369188695,0.016566151280779602
S1,1004,0.1,xgb,0.9566590544037638,0.5463583572166933,0.0164275383836168
S1,1004,0.2,xgb,0.9525371526978142,0.5383877884746644,0.01655874671182874
S1,1004,0.3,xgb,0.9490783096314029,0.464885004208234,0.01809016266340116
S1,1004,0.4,xgb,0.9352814842611714,0.41933101568681036,0.01888385615401008
S1,1004,0.5,xgb,0.9268039009503202,0.3902618164048552,0.01940045397356728
S1,1004,0.6,xgb,0.9152602956759346,0.36177366461883054,0.020004911654866002
S1,1004,0.7,xgb,0.8958895318825293,0.3077015407710567,0.02081285637164592
S1,1005,0.0,xgb,0.9612149953548285,0.5760035494469381,0.015949017874926162
S1,1005,0.05,xgb,0.9566595699288147,0.5470257822902015,0.016481924348588438
S1,1005,0.1,xgb,0.9554031070720239,0.5571095424518697,0.016203431797513202
S1,1005,0.2,xgb,0.9483757828839885,0.5073453096240678,0.01727481998189142
S1,1005,0.3,xgb,0.9476806052467447,0.491937834174862,0.01771056973227684
S1,1005,0.4,xgb,0.9372348769425345,0.4177645842342814,0.01903539153835686
S1,1005,0.5,xgb,0.9263563354568676,0.4071046563787018,0.01913026433258872
S1,1005,0.6,xgb,0.9118374775737266,0.355247108658857,0.02005129676733754
S1,1005,0.7,xgb,0.8993218476046337,0.3125716074453762,0.02073193940337924
S1,1006,0.0,xgb,0.9575806868708128,0.5696972295021567,0.01604608378872028
S1,1006,0.05,xgb,0.952848857494911,0.5557591577225333,0.01626046327565336
S1,1006,0.1,xgb,0.9555187284880491,0.5369992045920939,0.016831228134286058
S1,1006,0.2,xgb,0.9501226145258185,0.5023753201445039,0.01732721913946132
S1,1006,0.3,xgb,0.9439373041351254,0.453264331844556,0.0183110346242039
S1,1006,0.4,rf,0.9393810585354354,0.46552112856585576,0.01890353438248412
S1,1006,0.5,xgb,0.9196762641727719,0.3909599945623342,0.0195682821570974
S1,1006,0.6,xgb,0.9131810589829616,0.39204649221276433,0.0195106449225075
S1,1006,0.7,xgb,0.9012192516523125,0.32023950805171547,0.020840738471268237
S1,1007,0.0,xgb,0.960979673355466,0.5795996254077543,0.01580874821325674
S1,1007,0.05,xgb,0.9591096442351867,0.559065767171897,0.01618942842671032
S1,1007,0.1,xgb,0.9560457212449739,0.5547217508883298,0.01645484062535478
S1,1007,0.2,xgb,0.9525397511852857,0.4977489181214085,0.017548469858494196
S1,1007,0.3,xgb,0.9409622381098565,0.4780691537944012,0.01788623255985064
S1,1007,0.4,xgb,0.9368005583831561,0.4732745480030475,0.01790989759022902
S1,1007,0.5,xgb,0.9222540581736831,0.4206531692805549,0.01893154738324824
S1,1007,0.6,xgb,0.9139022427129347,0.3904854217781294,0.01945188131560786
S1,1007,0.7,xgb,0.8977479805035975,0.299568082214742,0.021007101636826862
S1,1008,0.0,xgb,0.9560826346285088,0.5704134930241949,0.01614131902798238
S1,1008,0.05,xgb,0.9532513099976596,0.5562621350603214,0.01641565744490272
S1,1008,0.1,xgb,0.9523155958974796,0.5261833955930653,0.01700587530319298
S1,1008,0.2,xgb,0.9502203678798896,0.5011003155194129,0.017421292341989518
S1,1008,0.3,xgb,0.9411413478942707,0.46070477990969716,0.01823979878131768
S1,1008,0.4,xgb,0.9352834887273239,0.427555170812225,0.01872998824271368
S1,1008,0.5,xgb,0.9355947452815144,0.42983105795070325,0.01879800777792794
S1,1008,0.6,xgb,0.9162554382941558,0.36666891148237124,0.019834484674040743
S1,1008,0.7,xgb,0.8953354672080828,0.2826653308437256,0.02125487733895372
S1,1009,0.0,xgb,0.9627725221091822,0.5906412684681124,0.01564681581665986
S1,1009,0.05,xgb,0.9565940905418717,0.558553720914399,0.01611365948781828
S1,1009,0.1,xgb,0.9563331623872907,0.5509853434289337,0.016353430547459257
S1,1009,0.2,xgb,0.9558014449055918,0.5538228414505179,0.01644603542363706
S1,1009,0.3,xgb,0.9483026835130705,0.5043150990255574,0.01726650125828602
S1,1009,0.4,xgb,0.9295644502971054,0.44948423014138666,0.0183381176819701
S1,1009,0.5,xgb,0.9209180864900193,0.4002858516680158,0.01930605831999308
S1,1009,0.6,xgb,0.9083880318052158,0.37620323654090626,0.01977660411621654
S1,1009,0.7,xgb,0.8967450709543101,0.3421315402800888,0.02032133190108044
S1,1010,0.0,xgb,0.9572535325953965,0.5798036141032928,0.01566854086559282
S1,1010,0.05,xgb,0.9539749749109048,0.5473430775244919,0.01649621259965648
S1,1010,0.1,xgb,0.9550326433735515,0.536403898139454,0.0166601206200334
S1,1010,0.2,xgb,0.9472128550840292,0.5245697359099546,0.01676588232133544
S1,1010,0.3,xgb,0.9381125102763755,0.46503757969574605,0.01830217558223174
S1,1010,0.4,xgb,0.9297377046053464,0.44600666524851185,0.01846057247611996
S1,1010,0.5,xgb,0.9272429442552493,0.42025970899670745,0.01891427526813948
S1,1010,0.6,xgb,0.9118891367895822,0.3648015090829987,0.01993956221051876
S1,1010,0.7,xgb,0.8971709249046771,0.3389963879444178,0.02036800894048212
S1,1011,0.0,xgb,0.9589911896194085,0.5782868027881969,0.0158059885101603
S1,1011,0.05,xgb,0.9559572740188618,0.5633868504061127,0.01613842169302538
S1,1011,0.1,xgb,0.9519300462837161,0.537325534362955,0.01671487693714092
S1,1011,0.2,xgb,0.9486139621111425,0.511473149862953,0.01716090283207464
S1,1011,0.3,xgb,0.9408621176979061,0.46491730685052335,0.01806007942309098
S1,1011,0.4,xgb,0.9335959497822677,0.45664619407727336,0.01829127009157648
S1,1011,0.5,xgb,0.925271147737571,0.4015253473115535,0.01923219579825352
S1,1011,0.6,xgb,0.9222240067274188,0.36591173030796964,0.0199251022860656
S1,1011,0.7,xgb,0.8961700618368486,0.29875347403525243,0.02103762594554664
S1,1012,0.0,xgb,0.9614237692073992,0.5856944356287628,0.015671495230724898
S1,1012,0.05,xgb,0.9595246670224936,0.576314048363456,0.01587293364394472
S1,1012,0.1,xgb,0.9552316688648634,0.5463598504253593,0.01661247124331748
S1,1012,0.2,xgb,0.9535645695740348,0.5151315701787398,0.017246259458198198
S1,1012,0.3,xgb,0.9490390837958621,0.4838960583598194,0.01797465909500732
S1,1012,0.4,xgb,0.9410602439141581,0.4648639920771986,0.01797853451505496
S1,1012,0.5,xgb,0.9224073871996502,0.3910185019240805,0.01942828945802432
S1,1012,0.6,xgb,0.9067933536282065,0.37049910227052607,0.01968857461206856
S1,1012,0.7,xgb,0.9015553139309279,0.31324781422136916,0.02079209793535908
S1,1013,0.0,xgb,0.9595094793490299,0.5665980692213285,0.016037678285688063
S1,1013,0.05,xgb,0.956225890200502,0.5508849385341202,0.016285392004522482
S1,1013,0.1,xgb,0.9530420120627113,0.5261343143261974,0.01690408115081908
S1,1013,0.2,xgb,0.9477559446946809,0.4789876839694413,0.0178310703867469
S1,1013,0.3,xgb,0.9440794950665877,0.49524976190766434,0.01753598470630002
S1,1013,0.4,xgb,0.9359330684604095,0.4349939085367599,0.01876278660951852
S1,1013,0.5,xgb,0.9270452270454568,0.4191887036624099,0.018756385094819538
S1,1013,0.6,xgb,0.916279814110948,0.3434475784071254,0.02023281492372498
S1,1013,0.7,xgb,0.9065130737192362,0.3533969701685974,0.02012425411849958
S1,1014,0.0,xgb,0.9582911263380938,0.5664259283901686,0.015996707696159882
S1,1014,0.05,xgb,0.9548852964903738,0.5491853915173719,0.01641477685250728
S1,1014,0.1,xgb,0.9531922153374255,0.5334317578394872,0.01677605428012132
S1,1014,0.2,xgb,0.947373759551722,0.4997430903179021,0.017484191849229398
S1,1014,0.3,xgb,0.9337503660198514,0.4589459846123495,0.01806759005799756
S1,1014,0.4,xgb,0.936088065988503,0.42548664392433205,0.01886213057464834
S1,1014,0.5,xgb,0.9321224453343525,0.39949403565617414,0.0192552344271958
S1,1014,0.6,xgb,0.9166673246848432,0.3826794018933798,0.0196043219513273
S1,1014,0.7,xgb,0.8981416636863797,0.3318819846402696,0.020427412976359322
S1,1015,0.0,xgb,0.9567692868360929,0.5880708826939578,0.01555502698675446
S1,1015,0.05,xgb,0.9554183835858622,0.5641433438416193,0.01613768199426992
S1,1015,0.1,xgb,0.9498127095514033,0.5453904324333926,0.01640336239326976
S1,1015,0.2,xgb,0.944633312308332,0.5189532685214705,0.01711997433702602
S1,1015,0.3,xgb,0.9461336455781639,0.48743756293883944,0.017770798595019878
S1,1015,0.4,xgb,0.9291478280194614,0.4475669288611833,0.01845482088436672
S1,1015,0.5,xgb,0.9260762806614291,0.40019118352320404,0.019329195833998482
S1,1015,0.6,xgb,0.9140862593074941,0.34701785560210224,0.020209355917633082
S1,1015,0.7,xgb,0.8913598218338693,0.30264537708004646,0.0210392640389316
S1,1016,0.0,xgb,0.9559312430150918,0.5717061385950417,0.01593299812924856
S1,1016,0.05,xgb,0.9543548797639021,0.539292765805426,0.01661203591473982
S1,1016,0.1,xgb,0.953014729954389,0.543523442907369,0.016577722670516302
S1,1016,0.2,xgb,0.9494949040892943,0.518103247467343,0.016932212588582
S1,1016,0.3,xgb,0.933518305216435,0.44570735264487515,0.01851668552425948
S1,1016,0.4,xgb,0.9342359821045401,0.44773128682306745,0.01837403651956956
S1,1016,0.5,xgb,0.9303955868880349,0.4340211800442922,0.0187827064147552
S1,1016,0.6,xgb,0.9139252907754196,0.3605604294594244,0.02004715960186754
S1,1016,0.7,xgb,0.9050748561005119,0.3304523596010175,0.02062551429324028
S1,1017,0.0,xgb,0.9626520342154201,0.6026878937930685,0.01545804749773352
S1,1017,0.05,xgb,0.9592034445094167,0.575920830564413,0.01591546470852304
S1,1017,0.1,xgb,0.9600860567323248,0.555622279824701,0.01662974839243314
S1,1017,0.2,xgb,0.9535349375120987,0.526931324736454,0.017221482159375117
S1,1017,0.3,xgb,0.9522749157215245,0.47991969692377373,0.01786139039719058
S1,1017,0.4,xgb,0.943315100269577,0.4403732010914038,0.018505041618332402
S1,1017,0.5,xgb,0.9325439880878935,0.42142544753769223,0.018923555268480517
S1,1017,0.6,xgb,0.9207614748059665,0.3544495300105008,0.020175699828568837
S1,1017,0.7,xgb,0.9009266642089712,0.3386890302594333,0.020279306178121757
S1,1018,0.0,xgb,0.959103933264864,0.571242742878343,0.01586951533651464
S1,1018,0.05,xgb,0.9565290535492466,0.5388443809721234,0.01648714168982248
S1,1018,0.1,xgb,0.9523813680930318,0.5383022581524023,0.016786094783925058
S1,1018,0.2,xgb,0.9483783554008172,0.5132200694698502,0.017101778390770362
S1,1018,0.3,xgb,0.9442735413519907,0.47930479119261926,0.017872608973346898
S1,1018,0.4,xgb,0.9416788653996268,0.4763386020360649,0.017995639328665762
S1,1018,0.5,xgb,0.9219627010220208,0.40511736860984604,0.01908237951367778
S1,1018,0.6,xgb,0.9104250166906048,0.3819681132071683,0.01948859351672276
S1,1018,0.7,xgb,0.8882294643707421,0.30374459192417647,0.02085489652609484
S1,1019,0.0,xgb,0.9616491790330765,0.5916167386498183,0.015552408891453401
S1,1019,0.05,xgb,0.9576739620861691,0.5559148941630856,0.016349843097453957
S1,1019,0.1,xgb,0.9585286358914467,0.568586693916048,0.01595304581514564
S1,1019,0.2,xgb,0.9521381950333028,0.5055673138274261,0.01729937947844688
S1,1019,0.3,xgb,0.9414763132923991,0.49334435319756087,0.01743766702951574
S1,1019,0.4,xgb,0.9333257892927118,0.4658073893068799,0.01810651006750778
S1,1019,0.5,xgb,0.9240676593720492,0.44871183521648916,0.018222069759508918
S1,1019,0.6,xgb,0.9176522298886314,0.3616495961108593,0.01989639658307462
S1,1019,0.7,xgb,0.911970687701084,0.30738418427026,0.020832235582049323
S1,1020,0.0,xgb,0.9583853503649141,0.5780559353659662,0.01574089996923162
S1,1020,0.05,xgb,0.9567374895912779,0.5586978620641784,0.0162202228145824
S1,1020,0.1,xgb,0.9540044075079159,0.5504716522106664,0.01644664365470968
S1,1020,0.2,xgb,0.9499391396425091,0.5063447859224468,0.01736495746549322
S1,1020,0.3,xgb,0.9443291313518903,0.46524969621125567,0.01798761073472224
S1,1020,0.4,xgb,0.9344213182414893,0.43967870207738463,0.01862917226989006
S1,1020,0.5,xgb,0.9312059192696294,0.3982305302825014,0.01937919565945346
S1,1020,0.6,xgb,0.9109921289380832,0.3770883336119235,0.01978840535010406
