split,miss_rate,baseline_seed,baseline_severity,baseline_winner_det,det_flip_pct,tie_flip_pct,kendall_tau_mean,spearman_rho_mean,flip_thr,tau_thr,stable_det,stable_tie
S1,0.0,1001,0.0,xgb,0.0,0.0,0.9999999999999998,0.9999999999999998,0.0,0.7,True,True
S1,0.0,1001,0.0,xgb,0.0,0.0,0.9999999999999998,0.9999999999999998,0.0,0.8,True,True
S1,0.0,1001,0.0,xgb,0.0,0.0,0.9999999999999998,0.9999999999999998,0.0,0.9,True,True
S1,0.0,1001,0.0,xgb,0.0,0.0,0.9999999999999998,0.9999999999999998,5.0,0.7,True,True
S1,0.0,1001,0.0,xgb,0.0,0.0,0.9999999999999998,0.9999999999999998,5.0,0.8,True,True
S1,0.0,1001,0.0,xgb,0.0,0.0,0.9999999999999998,0.9999999999999998,5.0,0.9,True,True
S1,0.0,1001,0.0,xgb,0.0,0.0,0.9999999999999998,0.9999999999999998,10.0,0.7,True,True
S1,0.0,1001,0.0,xgb,0.0,0.0,0.9999999999999998,0.9999999999999998,10.0,0.8,True,True
S1,0.0,1001,0.0,xgb,0.0,0.0,0.9999999999999998,0.9999999999999998,10.0,0.9,True,True
S1,0.05,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,0.0,0.7,True,True
S1,0.05,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,0.0,0.8,True,True
S1,0.05,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,0.0,0.9,True,True
S1,0.05,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,5.0,0.7,True,True
S1,0.05,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,5.0,0.8,True,True
S1,0.05,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,5.0,0.9,True,True
S1,0.05,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,10.0,0.7,True,True
S1,0.05,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,10.0,0.8,True,True
S1,0.05,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,10.0,0.9,True,True
S1,0.1,1001,0.0,xgb,0.0,0.0,0.9684210526315788,0.9842105263157892,0.0,0.7,True,True
S1,0.1,1001,0.0,xgb,0.0,0.0,0.9684210526315788,0.9842105263157892,0.0,0.8,True,True
S1,0.1,1001,0.0,xgb,0.0,0.0,0.9684210526315788,0.9842105263157892,0.0,0.9,True,True
S1,0.1,1001,0.0,xgb,0.0,0.0,0.9684210526315788,0.9842105263157892,5.0,0.7,True,True
S1,0.1,1001,0.0,xgb,0.0,0.0,0.9684210526315788,0.9842105263157892,5.0,0.8,True,True
S1,0.1,1001,0.0,xgb,0.0,0.0,0.9684210526315788,0.9842105263157892,5.0,0.9,True,True
S1,0.1,1001,0.0,xgb,0.0,0.0,0.9684210526315788,0.9842105263157892,10.0,0.7,True,True
S1,0.1,1001,0.0,xgb,0.0,0.0,0.9684210526315788,0.9842105263157892,10.0,0.8,True,True
S1,0.1,1001,0.0,xgb,0.0,0.0,0.9684210526315788,0.9842105263157892,10.0,0.9,True,True
S1,0.2,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,0.0,0.7,True,True
S1,0.2,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,0.0,0.8,True,True
S1,0.2,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,0.0,0.9,True,True
S1,0.2,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,5.0,0.7,True,True
S1,0.2,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,5.0,0.8,True,True
S1,0.2,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,5.0,0.9,True,True
S1,0.2,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,10.0,0.7,True,True
S1,0.2,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,10.0,0.8,True,True
S1,0.2,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,10.0,0.9,True,True
S1,0.3,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,0.0,0.7,True,True
S1,0.3,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,0.0,0.8,True,True
S1,0.3,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,0.0,0.9,True,True
S1,0.3,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,5.0,0.7,True,True
S1,0.3,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,5.0,0.8,True,True
S1,0.3,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,5.0,0.9,True,True
S1,0.3,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,10.0,0.7,True,True
S1,0.3,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,10.0,0.8,True,True
S1,0.3,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,10.0,0.9,True,True
S1,0.4,1001,0.0,xgb,5.0,5.0,0.9263157894736843,0.9631578947368418,0.0,0.7,False,False
S1,0.4,1001,0.0,xgb,5.0,5.0,0.9263157894736843,0.9631578947368418,0.0,0.8,False,False
S1,0.4,1001,0.0,xgb,5.0,5.0,0.9263157894736843,0.9631578947368418,0.0,0.9,False,False
S1,0.4,1001,0.0,xgb,5.0,5.0,0.9263157894736843,0.9631578947368418,5.0,0.7,True,True
S1,0.4,1001,0.0,xgb,5.0,5.0,0.9263157894736843,0.9631578947368418,5.0,0.8,True,True
S1,0.4,1001,0.0,xgb,5.0,5.0,0.9263157894736843,0.9631578947368418,5.0,0.9,True,True
S1,0.4,1001,0.0,xgb,5.0,5.0,0.9263157894736843,0.9631578947368418,10.0,0.7,True,True
S1,0.4,1001,0.0,xgb,5.0,5.0,0.9263157894736843,0.9631578947368418,10.0,0.8,True,True
S1,0.4,1001,0.0,xgb,5.0,5.0,0.9263157894736843,0.9631578947368418,10.0,0.9,True,True
S1,0.5,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,0.0,0.7,True,True
S1,0.5,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,0.0,0.8,True,True
S1,0.5,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,0.0,0.9,True,True
S1,0.5,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,5.0,0.7,True,True
S1,0.5,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,5.0,0.8,True,True
S1,0.5,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,5.0,0.9,True,True
S1,0.5,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,10.0,0.7,True,True
S1,0.5,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,10.0,0.8,True,True
S1,0.5,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,10.0,0.9,True,True
S1,0.6,1001,0.0,xgb,0.0,0.0,0.9473684210526314,0.9736842105263156,0.0,0.7,True,True
S1,0.6,1001,0.0,xgb,0.0,0.0,0.9473684210526314,0.9736842105263156,0.0,0.8,True,True
S1,0.6,1001,0.0,xgb,0.0,0.0,0.9473684210526314,0.9736842105263156,0.0,0.9,True,True
S1,0.6,1001,0.0,xgb,0.0,0.0,0.9473684210526314,0.9736842105263156,5.0,0.7,True,True
S1,0.6,1001,0.0,xgb,0.0,0.0,0.9473684210526314,0.9736842105263156,5.0,0.8,True,True
S1,0.6,1001,0.0,xgb,0.0,0.0,0.9473684210526314,0.9736842105263156,5.0,0.9,True,True
S1,0.6,1001,0.0,xgb,0.0,0.0,0.9473684210526314,0.9736842105263156,10.0,0.7,True,True
S1,0.6,1001,0.0,xgb,0.0,0.0,0.9473684210526314,0.9736842105263156,10.0,0.8,True,True
S1,0.6,1001,0.0,xgb,0.0,0.0,0.9473684210526314,0.9736842105263156,10.0,0.9,True,True
S1,0.7,1001,0.0,xgb,0.0,5.0,0.9473684210526315,0.9736842105263156,0.0,0.7,True,False
S1,0.7,1001,0.0,xgb,0.0,5.0,0.9473684210526315,0.9736842105263156,0.0,0.8,True,False
S1,0.7,1001,0.0,xgb,0.0,5.0,0.9473684210526315,0.9736842105263156,0.0,0.9,True,False
S1,0.7,1001,0.0,xgb,0.0,5.0,0.9473684210526315,0.9736842105263156,5.0,0.7,True,True
S1,0.7,1001,0.0,xgb,0.0,5.0,0.9473684210526315,0.9736842105263156,5.0,0.8,True,True
S1,0.7,1001,0.0,xgb,0.0,5.0,0.9473684210526315,0.9736842105263156,5.0,0.9,True,True
S1,0.7,1001,0.0,xgb,0.0,5.0,0.9473684210526315,0.9736842105263156,10.0,0.7,True,True
S1,0.7,1001,0.0,xgb,0.0,5.0,0.9473684210526315,0.9736842105263156,10.0,0.8,True,True
S1,0.7,1001,0.0,xgb,0.0,5.0,0.9473684210526315,0.9736842105263156,10.0,0.9,True,True
S2,0.0,1001,0.0,xgb,0.0,0.0,0.8,0.8999999999999997,0.0,0.7,True,True
S2,0.0,1001,0.0,xgb,0.0,0.0,0.8,0.8999999999999997,0.0,0.8,True,True
S2,0.0,1001,0.0,xgb,0.0,0.0,0.8,0.8999999999999997,0.0,0.9,False,False
S2,0.0,1001,0.0,xgb,0.0,0.0,0.8,0.8999999999999997,5.0,0.7,True,True
S2,0.0,1001,0.0,xgb,0.0,0.0,0.8,0.8999999999999997,5.0,0.8,True,True
S2,0.0,1001,0.0,xgb,0.0,0.0,0.8,0.8999999999999997,5.0,0.9,False,False
S2,0.0,1001,0.0,xgb,0.0,0.0,0.8,0.8999999999999997,10.0,0.7,True,True
S2,0.0,1001,0.0,xgb,0.0,0.0,0.8,0.8999999999999997,10.0,0.8,True,True
S2,0.0,1001,0.0,xgb,0.0,0.0,0.8,0.8999999999999997,10.0,0.9,False,False
S2,0.05,1001,0.0,xgb,0.0,0.0,0.9789473684210526,0.9894736842105262,0.0,0.7,True,True
S2,0.05,1001,0.0,xgb,0.0,0.0,0.9789473684210526,0.9894736842105262,0.0,0.8,True,True
S2,0.05,1001,0.0,xgb,0.0,0.0,0.9789473684210526,0.9894736842105262,0.0,0.9,True,True
S2,0.05,1001,0.0,xgb,0.0,0.0,0.9789473684210526,0.9894736842105262,5.0,0.7,True,True
S2,0.05,1001,0.0,xgb,0.0,0.0,0.9789473684210526,0.9894736842105262,5.0,0.8,True,True
S2,0.05,1001,0.0,xgb,0.0,0.0,0.9789473684210526,0.9894736842105262,5.0,0.9,True,True
S2,0.05,1001,0.0,xgb,0.0,0.0,0.9789473684210526,0.9894736842105262,10.0,0.7,True,True
S2,0.05,1001,0.0,xgb,0.0,0.0,0.9789473684210526,0.9894736842105262,10.0,0.8,True,True
S2,0.05,1001,0.0,xgb,0.0,0.0,0.9789473684210526,0.9894736842105262,10.0,0.9,True,True
S2,0.1,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,0.0,0.7,True,True
S2,0.1,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,0.0,0.8,True,True
S2,0.1,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,0.0,0.9,True,True
S2,0.1,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,5.0,0.7,True,True
S2,0.1,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,5.0,0.8,True,True
S2,0.1,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,5.0,0.9,True,True
S2,0.1,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,10.0,0.7,True,True
S2,0.1,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,10.0,0.8,True,True
S2,0.1,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,10.0,0.9,True,True
S2,0.2,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,0.0,0.7,True,True
S2,0.2,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,0.0,0.8,True,True
S2,0.2,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,0.0,0.9,False,False
S2,0.2,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,5.0,0.7,True,True
S2,0.2,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,5.0,0.8,True,True
S2,0.2,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,5.0,0.9,False,False
S2,0.2,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,10.0,0.7,True,True
S2,0.2,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,10.0,0.8,True,True
S2,0.2,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,10.0,0.9,False,False
S2,0.3,1001,0.0,xgb,0.0,0.0,0.8526315789473684,0.9263157894736839,0.0,0.7,True,True
S2,0.3,1001,0.0,xgb,0.0,0.0,0.8526315789473684,0.9263157894736839,0.0,0.8,True,True
S2,0.3,1001,0.0,xgb,0.0,0.0,0.8526315789473684,0.9263157894736839,0.0,0.9,False,False
S2,0.3,1001,0.0,xgb,0.0,0.0,0.8526315789473684,0.9263157894736839,5.0,0.7,True,True
S2,0.3,1001,0.0,xgb,0.0,0.0,0.8526315789473684,0.9263157894736839,5.0,0.8,True,True
S2,0.3,1001,0.0,xgb,0.0,0.0,0.8526315789473684,0.9263157894736839,5.0,0.9,False,False
S2,0.3,1001,0.0,xgb,0.0,0.0,0.8526315789473684,0.9263157894736839,10.0,0.7,True,True
S2,0.3,1001,0.0,xgb,0.0,0.0,0.8526315789473684,0.9263157894736839,10.0,0.8,True,True
S2,0.3,1001,0.0,xgb,0.0,0.0,0.8526315789473684,0.9263157894736839,10.0,0.9,False,False
S2,0.4,1001,0.0,xgb,0.0,0.0,0.8210526315789475,0.9105263157894733,0.0,0.7,True,True
S2,0.4,1001,0.0,xgb,0.0,0.0,0.8210526315789475,0.9105263157894733,0.0,0.8,True,True
S2,0.4,1001,0.0,xgb,0.0,0.0,0.8210526315789475,0.9105263157894733,0.0,0.9,False,False
S2,0.4,1001,0.0,xgb,0.0,0.0,0.8210526315789475,0.9105263157894733,5.0,0.7,True,True
S2,0.4,1001,0.0,xgb,0.0,0.0,0.8210526315789475,0.9105263157894733,5.0,0.8,True,True
S2,0.4,1001,0.0,xgb,0.0,0.0,0.8210526315789475,0.9105263157894733,5.0,0.9,False,False
S2,0.4,1001,0.0,xgb,0.0,0.0,0.8210526315789475,0.9105263157894733,10.0,0.7,True,True
S2,0.4,1001,0.0,xgb,0.0,0.0,0.8210526315789475,0.9105263157894733,10.0,0.8,True,True
S2,0.4,1001,0.0,xgb,0.0,0.0,0.8210526315789475,0.9105263157894733,10.0,0.9,False,False
S2,0.5,1001,0.0,xgb,0.0,0.0,0.9473684210526315,0.9736842105263156,0.0,0.7,True,True
S2,0.5,1001,0.0,xgb,0.0,0.0,0.9473684210526315,0.9736842105263156,0.0,0.8,True,True
S2,0.5,1001,0.0,xgb,0.0,0.0,0.9473684210526315,0.9736842105263156,0.0,0.9,True,True
S2,0.5,1001,0.0,xgb,0.0,0.0,0.9473684210526315,0.9736842105263156,5.0,0.7,True,True
S2,0.5,1001,0.0,xgb,0.0,0.0,0.9473684210526315,0.9736842105263156,5.0,0.8,True,True
S2,0.5,1001,0.0,xgb,0.0,0.0,0.9473684210526315,0.9736842105263156,5.0,0.9,True,True
S2,0.5,1001,0.0,xgb,0.0,0.0,0.9473684210526315,0.9736842105263156,10.0,0.7,True,True
S2,0.5,1001,0.0,xgb,0.0,0.0,0.9473684210526315,0.9736842105263156,10.0,0.8,True,True
S2,0.5,1001,0.0,xgb,0.0,0.0,0.9473684210526315,0.9736842105263156,10.0,0.9,True,True
S2,0.6,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210526,0.0,0.7,True,True
S2,0.6,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210526,0.0,0.8,True,True
S2,0.6,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210526,0.0,0.9,True,True
S2,0.6,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210526,5.0,0.7,True,True
S2,0.6,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210526,5.0,0.8,True,True
S2,0.6,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210526,5.0,0.9,True,True
S2,0.6,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210526,10.0,0.7,True,True
S2,0.6,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210526,10.0,0.8,True,True
S2,0.6,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210526,10.0,0.9,True,True
S2,0.7,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,0.0,0.7,True,True
S2,0.7,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,0.0,0.8,True,True
S2,0.7,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,0.0,0.9,False,False
S2,0.7,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,5.0,0.7,True,True
S2,0.7,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,5.0,0.8,True,True
S2,0.7,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,5.0,0.9,False,False
S2,0.7,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,10.0,0.7,True,True
S2,0.7,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,10.0,0.8,True,True
S2,0.7,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,10.0,0.9,False,False
