split,seed,miss_rate,rank1_model,rank2_model,margin_auc,margin_ap,margin_brier
S1,1001,0.0,xgb,rf,0.008253692424965209,0.018842067023759568,0.0012010795905900984
S1,1002,0.0,xgb,rf,0.005453876099947186,0.00569562533673984,0.0008828067491062977
S1,1003,0.0,xgb,rf,0.004622673226742924,0.00518163339254718,0.0008168351340391983
S1,1004,0.0,xgb,rf,0.006108307704879801,-0.005479661559898652,0.0007650440577613993
S1,1005,0.0,xgb,rf,0.008412540355366316,0.008639599498257988,0.0008650392452288005
S1,1006,0.0,xgb,rf,0.005147774365152125,0.008475330741567921,0.0009303874693793006
S1,1007,0.0,xgb,rf,0.005579004552824007,0.005685524613262216,0.0008257511726119972
S1,1008,0.0,xgb,rf,0.004603259412905625,0.007309310444345463,0.0006526245733861971
S1,1009,0.0,xgb,rf,0.009075616247202545,0.01852436119883949,0.0009579320198702009
S1,1010,0.0,xgb,rf,0.007550110324121562,0.008334990749719662,0.0010364889481677998
S1,1011,0.0,xgb,rf,0.008977709624785835,0.008529822024541778,0.0007906557687759989
S1,1012,0.0,xgb,rf,0.009500229099506097,0.02015047718282159,0.001312050566552099
S1,1013,0.0,xgb,rf,0.007856072326470342,0.0013195944996132747,0.0006986567596069977
S1,1014,0.0,xgb,rf,0.0057253038062418105,-0.002102695310447489,0.0007600505235738006
S1,1015,0.0,xgb,rf,0.006115791171573792,0.015589902810516754,0.0010928557081749009
S1,1016,0.0,xgb,rf,0.0024401172528190074,0.008223173010849405,0.0008487098451639974
S1,1017,0.0,xgb,rf,0.013307124703351603,0.0297533668169625,0.0010588429983575016
S1,1018,0.0,xgb,rf,0.004841598073835995,0.0055101535985224714,0.0009610541743870979
S1,1019,0.0,xgb,rf,0.009394542763272895,0.02453933821876131,0.0012059502676416995
S1,1020,0.0,xgb,rf,0.006485734176837177,0.014020163674749453,0.0009692051087488995
S1,1001,0.05,xgb,rf,0.006210184916544792,-0.002518676449831725,0.0006802994481190996
S1,1002,0.05,xgb,rf,0.006659101896278163,-0.012066734816947755,0.0006346418191906025
S1,1003,0.05,xgb,rf,0.00661090575916079,0.007844502696114253,0.0008277938158244014
S1,1004,0.05,xgb,rf,0.007282615030230533,-0.011957288073524586,0.00043876454209050217
S1,1005,0.05,xgb,extratrees,0.0043567675855100685,0.014605846704688674,0.0013738492780869006
S1,1006,0.05,xgb,rf,0.007181765536633633,0.011931328532852281,0.0011169344542065994
S1,1007,0.05,xgb,extratrees,0.008231873630916042,0.01951352353517044,0.0019353934449267002
S1,1008,0.05,xgb,rf,0.0033194789043712314,0.003469468339482029,0.0005989051467233976
S1,1009,0.05,xgb,rf,0.006214277391214051,-0.0002270712351177817,0.0008392558248987991
S1,1010,0.05,xgb,rf,0.005842917910733547,-0.0008274503011571621,0.0006096486464367001
S1,1011,0.05,xgb,rf,0.008189724937172183,-0.002126275000919553,0.0006287513213786983
S1,1012,0.05,xgb,rf,0.007645016064733223,0.005763941992073862,0.0009713356101908009
S1,1013,0.05,xgb,extratrees,0.008751135789704212,0.016115324453669366,0.0019456756188125993
S1,1014,0.05,xgb,rf,0.007755352517277769,0.002972876400489377,0.0006652857149662995
S1,1015,0.05,xgb,rf,0.006713674735176145,0.010376380012263042,0.0008488132882630006
S1,1016,0.05,xgb,rf,0.004333912204417811,-0.0075670505542135835,0.0004799290792718014
S1,1017,0.05,xgb,rf,0.013569095031260914,0.016354719851152222,0.0009808263657372987
S1,1018,0.05,xgb,rf,0.005523029148585379,-0.022325119011140426,0.0004151562693155003
S1,1019,0.05,xgb,extratrees,0.01016020882324875,0.02841614706223794,0.0018558789500986023
S1,1020,0.05,xgb,rf,0.006605863148524849,0.0104115993581253,0.0009120189735351975
S1,1001,0.1,xgb,rf,0.006892725971373359,0.00960331165502093,0.0009945782150944
S1,1002,0.1,xgb,rf,0.008134152573936237,-0.012503450561821783,0.0004807050400759995
S1,1003,0.1,xgb,rf,0.008994525132946407,0.006534062632083781,0.001035731468353101
S1,1004,0.1,xgb,rf,0.008533358141218583,0.0006449318704517815,0.0008048362119352989
S1,1005,0.1,xgb,rf,0.00950984911125119,0.007509977501020115,0.0010163541509665003
S1,1006,0.1,xgb,rf,0.008240849355163227,-0.003896507254210757,0.0005038886059742995
S1,1007,0.1,xgb,rf,0.007586617955318786,-0.0032094701305882545,0.0007457389143807995
S1,1008,0.1,xgb,rf,0.008811547904288619,-0.0042391357071043245,0.0003786442784696996
S1,1009,0.1,xgb,extratrees,0.0076141303115689896,0.01651671028494961,0.0018914874481262
S1,1010,0.1,xgb,rf,0.0102984967202987,0.004839083478694661,0.0008464765976140994
S1,1011,0.1,xgb,rf,0.00543821278974288,-0.002122238101290974,0.0005686561161925008
S1,1012,0.1,xgb,rf,0.005767170115991815,-0.006035255184055122,0.0004888812353977985
S1,1013,0.1,xgb,rf,0.004917175033688825,-0.012495607788586272,0.0003933568334021989
S1,1014,0.1,xgb,rf,0.005150934976798749,-0.0033526813054907123,0.0006702671940871999
S1,1015,0.1,xgb,extratrees,0.005174312300287198,0.015191946343781959,0.0018602626880609013
S1,1016,0.1,xgb,rf,0.004374207261711005,0.0036004840065878563,0.0007393073157975008
S1,1017,0.1,xgb,rf,0.012093222333414033,0.012205001549535965,0.0005673231132776006
S1,1018,0.1,xgb,rf,0.007014527008358917,0.00603240121271531,0.0007481241082329011
S1,1019,0.1,xgb,extratrees,0.009643440879801402,0.03999331683081775,0.002297212063864202
S1,1020,0.1,xgb,rf,0.006216321260026247,0.007474337286670796,0.0008008068466855006
S1,1001,0.2,xgb,rf,0.01239833371929866,-0.0022615956923718317,0.000606179424123103
S1,1002,0.2,xgb,rf,0.008841877953220334,0.004143988177926106,0.0007210942086111997
S1,1003,0.2,xgb,rf,0.005720145215908801,-0.008650856001874097,0.000459616747959999
S1,1004,0.2,xgb,rf,0.006921484791221677,-0.0024829176794396446,0.0008656596168378008
S1,1005,0.2,xgb,extratrees,0.005053744572769192,0.007852427427989972,0.0014217327432718002
S1,1006,0.2,xgb,rf,0.0036212479905891604,-0.023820622500668742,0.00046706678715000005
S1,1007,0.2,xgb,rf,0.007679570121849166,-0.024067145642799492,0.0002378690230583
S1,1008,0.2,xgb,rf,0.010931821718925372,0.003716792403692104,0.0005093798709489977
S1,1009,0.2,xgb,rf,0.011609526567398443,0.027657803882487397,0.0013233080599094997
S1,1010,0.2,xgb,extratrees,0.007330971203643233,0.03226950240106208,0.0020538079418514
S1,1011,0.2,xgb,extratrees,0.007366431940049156,0.016429070353286,0.0014714116461227028
S1,1012,0.2,xgb,extratrees,0.01198980206302136,0.023922044733988568,0.0018972589052753987
S1,1013,0.2,xgb,rf,0.005065617348191664,-0.03388038148130029,2.4023420821299435e-05
S1,1014,0.2,xgb,extratrees,0.008800442589928625,-0.0003162597227305275,0.0011703813820194003
S1,1015,0.2,xgb,extratrees,0.0058866586983747915,0.025155538524434085,0.001963112619064098
S1,1016,0.2,xgb,rf,0.010152985174656792,-0.009088955188394254,0.0006896768985868995
S1,1017,0.2,xgb,extratrees,0.009631624460674004,0.02252422359476669,0.0015222821906526011
S1,1018,0.2,xgb,rf,0.004408196623557958,-0.009751341649029577,0.0005808715706646997
S1,1019,0.2,xgb,rf,0.008617266717018124,2.420075378395392e-05,0.0007820636123015007
S1,1020,0.2,xgb,extratrees,0.010508161487979173,0.0023408361809701406,0.0012407504934531
S1,1001,0.3,xgb,rf,0.0077447634992969805,0.006179174390728626,0.0008293347440942005
S1,1002,0.3,xgb,rf,0.004454154571722602,-0.016059372680689576,0.000432654523168801
S1,1003,0.3,xgb,rf,0.0037711480528546115,-0.019577720845400604,0.00043492783484889996
S1,1004,0.3,xgb,extratrees,0.010652250826683196,-0.018795961996077137,0.001321838462918598
S1,1005,0.3,xgb,extratrees,0.011582375595240002,0.020646838434841275,0.0016143924321087993
S1,1006,0.3,xgb,rf,0.005848764811400287,-0.02999201333887952,0.0003122935537838989
S1,1007,0.3,xgb,extratrees,0.004450276676892573,0.00481785296311138,0.001645998474230203
S1,1008,0.3,xgb,rf,0.005857253999028256,-0.008542145874811169,0.00032549175987650267
S1,1009,0.3,xgb,rf,0.0135916149963069,-0.0031881446476045294,0.0008233326062789988
S1,1010,0.3,xgb,rf,0.004356088515530043,-0.015660884073184778,0.00021818210210989772
S1,1011,0.3,xgb,extratrees,0.010336315357335146,0.001629950095022703,0.0014586510342050017
S1,1012,0.3,xgb,extratrees,0.010997501274597421,0.01756278022160801,0.0013703446093212002
S1,1013,0.3,xgb,rf,0.007538672863420026,0.010460034598050505,0.0007982339611412002
S1,1014,0.3,xgb,extratrees,0.0009600645955956111,0.0025499318964507522,0.0014487777749064984
S1,1015,0.3,xgb,extratrees,0.014689042502955663,0.012193547643827296,0.0017611527690930967
S1,1016,0.3,xgb,rf,0.004265752699079028,-0.004021753467953082,0.0004517265817774972
S1,1017,0.3,xgb,rf,0.01269797410100304,-0.01771949911181303,0.0002711565344921986
S1,1018,0.3,xgb,rf,0.010837161909912796,0.004169083120293127,0.0006561581967599005
S1,1019,0.3,xgb,extratrees,0.006232822190984422,0.012750316524361094,0.0018760236680978003
S1,1020,0.3,xgb,rf,0.005164827894253654,-0.032101382219497265,0.00015366740680410051
S1,1001,0.4,xgb,rf,0.007028511807351201,-0.023700472119471405,2.509710931680037e-05
S1,1002,0.4,xgb,extratrees,0.012196073589619827,0.01082727719225901,0.0010803078384838995
S1,1003,0.4,xgb,rf,0.004151384392539592,0.02082032467834899,0.001236652609168401
S1,1004,0.4,xgb,extratrees,0.0087031386552342,-0.011378655603961896,0.0010675218439039
S1,1005,0.4,xgb,rf,0.011012743317601825,-0.01979126288658728,0.00014413192432570152
S1,1006,0.4,rf,xgb,0.0003625570349597984,0.016319706712474125,-0.0005189454361494983
S1,1007,0.4,xgb,rf,0.004693065828191179,0.01470889027762734,0.001031404021661901
S1,1008,0.4,xgb,rf,0.006100133504790217,0.0008728711832388103,0.0005595165252155025
S1,1009,0.4,xgb,rf,0.004910945873727424,0.0020116237527870173,0.0006215929819864997
S1,1010,0.4,xgb,rf,0.008167534936934673,-0.008135726035069624,0.0004669665515799025
S1,1011,0.4,xgb,extratrees,0.012188267331209146,0.02845495473152071,0.0016133756899986973
S1,1012,0.4,xgb,rf,0.005954456827413135,-0.030237276343298203,0.0005027565419851027
S1,1013,0.4,xgb,rf,0.008373838970986758,0.004346259646307693,0.0004536014179141977
S1,1014,0.4,xgb,rf,0.010067827278487984,0.0015095525893599193,0.0004859162898614017
S1,1015,0.4,xgb,extratrees,0.006647985500245368,0.013722351788758524,0.001612703155031897
S1,1016,0.4,xgb,rf,0.00908516220365918,-0.006786079449010607,0.0006302703134018033
S1,1017,0.4,xgb,rf,0.012683516462308586,-0.0028810982624093984,0.0005359068905615993
S1,1018,0.4,xgb,rf,0.006960401368347968,0.003204685185108469,0.0007269799877383
S1,1019,0.4,xgb,extratrees,0.006409272155657009,0.03948888712862464,0.001719390576623299
S1,1020,0.4,xgb,extratrees,0.005023918626999246,0.010638610858859476,0.0014418037492822007
S1,1001,0.5,xgb,rf,0.011445524620094627,-0.015480654329260768,0.0004734859603857007
S1,1002,0.5,xgb,rf,0.010615780941217956,-0.004046968993526301,0.0005815003780021977
S1,1003,0.5,xgb,extratrees,0.015707250100938874,0.04991716944832991,0.0019057755089154985
S1,1004,0.5,xgb,rf,0.015381280330957758,-0.0032309906793386856,0.0006073222732675999
S1,1005,0.5,xgb,extratrees,0.002480535203193801,0.002198558187994415,0.0013733582173298987
S1,1006,0.5,xgb,extratrees,0.008460922512407265,0.024731113106250813,0.0013065397483240995
S1,1007,0.5,xgb,rf,0.0048049457212320235,-0.010111213208133574,0.0004059330124193995
S1,1008,0.5,xgb,rf,0.010603365114460805,-0.0020462228893078915,0.0007408577616694993
S1,1009,0.5,xgb,rf,0.008173164582786385,-0.0012364549625686339,0.0005813036685252022
S1,1010,0.5,xgb,rf,0.0036951260159162613,0.008333018606005715,0.0008958539961278003
S1,1011,0.5,xgb,extratrees,0.010910164150626622,0.005741370087555098,0.0011355266283038998
S1,1012,0.5,xgb,extratrees,0.009906712799192197,-0.006150551145125194,0.0012301898877183012
S1,1013,0.5,xgb,rf,0.009081900898636364,0.017076153615582124,0.0008131815262233007
S1,1014,0.5,xgb,rf,0.00855016393895558,-0.033939820753052796,0.00021073293636529947
S1,1015,0.5,xgb,extratrees,0.013742326194465027,-0.0038436141366565146,0.0013698903472526003
S1,1016,0.5,xgb,rf,0.013244367244942379,0.02159193012981858,0.0011374541745649003
S1,1017,0.5,xgb,extratrees,0.011455601704764673,0.008969203099110368,0.0016522862814869997
S1,1018,0.5,xgb,rf,0.005885811572365451,-0.026526574483213716,0.00036071908981559833
S1,1019,0.5,xgb,extratrees,0.011264061466926711,0.04088673881032473,0.0023110309483391003
S1,1020,0.5,xgb,rf,0.008211915399687797,-0.015340023770125,0.0002793878529930016
S1,1001,0.6,xgb,rf,0.012381739010946302,0.003700250455822396,0.0005083385340187985
S1,1002,0.6,xgb,extratrees,0.01698315414981799,0.02470933656223201,0.0013684125292598992
S1,1003,0.6,xgb,rf,0.0121036788283988,-0.002586018730502626,0.0006090836860803001
S1,1004,0.6,xgb,extratrees,0.012665130358748167,0.0076823478562279,0.0010966237030803003
S1,1005,0.6,xgb,extratrees,0.010271390791622759,-0.0029157401546036077,0.0011650673528688996
S1,1006,0.6,xgb,rf,0.009416766699350099,0.01648393033272788,0.0009147870746661971
S1,1007,0.6,xgb,extratrees,0.016739166068988842,0.01675980444393199,0.0015824472913565993
S1,1008,0.6,xgb,rf,0.006047828565260427,0.008958386379007088,0.0007558913685417994
S1,1009,0.6,xgb,rf,0.011750609889900843,0.005833995708492301,0.0007658306001167986
S1,1010,0.6,xgb,extratrees,0.014744704644106932,0.040422052635543104,0.0012717942497454983
S1,1011,0.6,xgb,rf,0.010590723680729552,0.010399717262465358,0.0006877918911135025
S1,1012,0.6,xgb,rf,0.006825210522393599,-0.00820125878641198,0.0007743774859126987
S1,1013,0.6,xgb,rf,0.008650573206783307,-0.03204793449406518,0.00014584615962990113
S1,1014,0.6,xgb,rf,0.003824251922074806,0.015426704708326577,0.0007262004916642022
S1,1015,0.6,xgb,rf,0.008955445930251993,-0.011109547475471604,0.0003117126526934015
S1,1016,0.6,xgb,rf,0.00956781995684397,-0.007967645384837185,0.0003888600821919004
S1,1017,0.6,xgb,rf,0.007326367676067536,-0.0016366923594366978,0.0002737991979584013
S1,1018,0.6,xgb,rf,0.0039853982024223855,-0.014626190280153495,0.0006550933009741994
S1,1019,0.6,xgb,rf,0.005550347600224992,-0.017928808098459037,0.0004883414439512991
S1,1020,0.6,xgb,rf,0.004753753626343005,0.0011269415338108213,0.0007035304323660015
S1,1001,0.7,xgb,rf,0.0071174792669918,0.020746935758814533,0.0007693051208381013
S1,1002,0.7,xgb,rf,0.008096764852193017,-0.008163898160763905,0.0004578297971017005
S1,1003,0.7,xgb,rf,0.012130077986807097,0.0037653183485447106,0.0009131180812956032
S1,1004,0.7,xgb,rf,0.008652683679905904,-0.025638515505314263,0.0003928778313285024
S1,1005,0.7,xgb,extratrees,0.011150016572802124,0.013733955306197698,0.0012500256659311003
S1,1006,0.7,xgb,rf,0.017024950206382616,-0.006480458725420357,0.0003645074963525008
S1,1007,0.7,xgb,rf,0.01114552936773594,0.009956090717881727,0.00039275278078669887
S1,1008,0.7,xgb,rf,0.013073451437262351,0.006483355312294992,0.00043903548429610056
S1,1009,0.7,xgb,rf,0.017829252025520992,0.02588240209021969,0.0008496982440070015
S1,1010,0.7,xgb,rf,0.002073755497912222,0.014278944837848195,0.000736932884820303
S1,1011,0.7,xgb,extratrees,0.01224190729422947,0.0007171343234961824,0.000820380525344399
S1,1012,0.7,xgb,extratrees,0.014979726760457224,0.021263284564437213,0.0012000066347161997
S1,1013,0.7,xgb,rf,0.011803005602021521,0.005565898750568399,0.000829266615700399
S1,1014,0.7,xgb,rf,0.007794629055304592,0.0013780325633530044,0.0005499431316746996
S1,1015,0.7,xgb,rf,0.012553388639915508,0.02687373816104749,0.0008048967290012997
S1,1016,0.7,xgb,rf,0.010123014221802507,0.008206040440219109,0.0006046802804407989
S1,1017,0.7,xgb,extratrees,0.01778127613243985,0.02032232660092753,0.001434509559952002
S1,1018,0.7,xgb,rf,0.000886743471747109,-0.0173439856311266,0.000566841791990999
