split,seed,target_prev,rank1_model,rank2_model,margin_auc,margin_ap,margin_brier
S1,1001,-1.0,xgb,rf,0.008253692424965209,0.018842067023759568,0.0012010795905900984
S1,1002,-1.0,xgb,rf,0.005453876099947186,0.00569562533673984,0.0008828067491063983
S1,1003,-1.0,xgb,rf,0.004622673226742813,0.00518163339254718,0.0008168351340391983
S1,1004,-1.0,xgb,rf,0.006108307704879801,-0.005479661559898652,0.0007650440577614999
S1,1005,-1.0,xgb,rf,0.008412540355366316,0.008639599498257988,0.0008650392452288005
S1,1006,-1.0,xgb,rf,0.005147774365152347,0.008475330741567921,0.0009303874693792
S1,1007,-1.0,xgb,rf,0.005579004552824007,0.005685524613262216,0.0008257511726119972
S1,1008,-1.0,xgb,rf,0.004603259412905625,0.007309310444345463,0.0006526245733862006
S1,1009,-1.0,xgb,rf,0.009075616247202545,0.01852436119883938,0.0009579320198702009
S1,1010,-1.0,xgb,rf,0.007550110324121562,0.008334990749719662,0.0010364889481677998
S1,1011,-1.0,xgb,rf,0.008977709624785613,0.008529822024541778,0.0007906557687760996
S1,1012,-1.0,xgb,rf,0.009500229099506208,0.02015047718282159,0.0013120505665519984
S1,1013,-1.0,xgb,rf,0.007856072326470342,0.0013195944996132747,0.0006986567596069977
S1,1014,-1.0,xgb,rf,0.0057253038062418105,-0.002102695310447489,0.0007600505235737
S1,1015,-1.0,xgb,rf,0.006115791171573792,0.015589902810516754,0.0010928557081748003
S1,1016,-1.0,xgb,rf,0.0024401172528192294,0.008223173010849405,0.000848709845164098
S1,1017,-1.0,xgb,rf,0.013307124703351603,0.0297533668169625,0.0010588429983575016
S1,1018,-1.0,xgb,rf,0.004841598073835995,0.0055101535985224714,0.0009610541743870979
S1,1019,-1.0,xgb,rf,0.009394542763272895,0.02453933821876131,0.0012059502676416995
S1,1020,-1.0,xgb,rf,0.006485734176837177,0.014020163674749453,0.0009692051087488995
S1,1001,0.1,xgb,rf,0.007305727686898411,-0.016492625776057257,-0.0002570609121728025
S1,1002,0.1,xgb,extratrees,0.0011894160636426454,0.033426828690988564,0.0006048043258394982
S1,1003,0.1,xgb,rf,0.003638444649097239,-0.007022419057932883,0.0004259268384228
S1,1004,0.1,xgb,rf,0.0008407644406144277,-0.015583714890091582,-0.00022029881032470042
S1,1005,0.1,xgb,rf,0.006525610273123594,-0.0071498820294760845,0.0002600940690620987
S1,1006,0.1,xgb,rf,0.006688693947842217,-0.01272719084035634,0.0003980330437672007
S1,1007,0.1,xgb,rf,0.007122935592564605,-0.015189461828788442,0.00020730706359000164
S1,1008,0.1,xgb,rf,0.005949596857919404,0.0035962676416949613,-8.198316672180031e-05
S1,1009,0.1,rf,xgb,3.633130351776703e-05,0.015438513870826287,-0.0001794046298722006
S1,1010,0.1,xgb,rf,0.003561827307890675,-0.016968450882649755,0.00017404540198650079
S1,1011,0.1,xgb,rf,0.004793973124648021,-0.013690005245707182,0.0005565204995192016
S1,1012,0.1,xgb,rf,0.008236150175113144,0.0015833269193888944,0.0007862489654341977
S1,1013,0.1,xgb,rf,0.0017770726737871279,-0.02988836849934895,-0.001045158320863302
S1,1014,0.1,xgb,rf,0.0017114755904877876,-0.019684185078296945,-0.00029520130847110124
S1,1015,0.1,xgb,rf,0.004592554521708037,-0.004882048197234701,0.0008026540365781987
S1,1016,0.1,xgb,rf,0.0015674215692612625,-0.027223222654624735,-0.00018180920239380116
S1,1017,0.1,xgb,rf,0.0050953788166467895,-0.018042322223840612,-3.5365180533798724e-05
S1,1018,0.1,xgb,rf,0.005348690677681178,-0.024235318655195126,0.0001191522039277991
S1,1019,0.1,xgb,extratrees,0.005887342715761967,0.029998620053160896,0.0007843487467533022
S1,1020,0.1,xgb,rf,0.00574322105919034,-0.0025049830017034314,0.0004617286019356001
S1,1001,0.2,xgb,rf,0.0003107225692066118,-0.02491651926014271,0.0016908694333123003
S1,1002,0.2,xgb,rf,0.0012070985160101966,-0.009905392318124817,0.0009367386008945003
S1,1003,0.2,xgb,rf,0.0009316283622953225,-0.011738112985957727,0.0010877703994065999
S1,1004,0.2,xgb,rf,0.002461777607767557,-0.00033384222315835377,0.0011906721551993016
S1,1005,0.2,xgb,rf,0.0011054720301247878,-0.01999299959114198,0.0009635892405343016
S1,1006,0.2,xgb,rf,0.0025825925809990213,-0.02158675341695493,0.0016345654897111025
S1,1007,0.2,xgb,rf,0.0040794995075675855,-0.024124751125922828,-0.0006896731844193982
S1,1008,0.2,rf,xgb,0.0001463753551923519,0.03303116633732217,-0.00036714169236450045
S1,1009,0.2,xgb,rf,0.0013213918998422614,-0.0249597156851582,0.0013595368402513006
S1,1010,0.2,xgb,rf,0.002463037228093823,-0.024251306125530725,0.0005051789564355022
S1,1011,0.2,xgb,rf,0.0031501724039307843,-0.01715486401019184,0.0009420956781640011
S1,1012,0.2,xgb,rf,0.0023750494823849833,0.005088058543643137,0.0019439280183864982
S1,1013,0.2,xgb,rf,0.001164900163800331,-0.03696032090698731,-1.5601643052400027e-05
S1,1014,0.2,rf,extratrees,0.001139602248947047,0.029879858551147276,6.608828221593699e-06
S1,1015,0.2,xgb,rf,0.0003104210006996677,-0.04265704901501738,0.0008862686040426032
S1,1016,0.2,rf,xgb,0.0009451010825411998,0.02222368539133368,-0.00035653061961289645
S1,1017,0.2,xgb,rf,0.002793072151627385,-0.024575367516750157,0.0003089193265189971
S1,1018,0.2,xgb,rf,0.004212654062943244,-0.0046184070885813,0.000245355100282299
S1,1019,0.2,xgb,rf,0.0029445139922678054,-0.006193665783400748,-0.00045355434965620167
S1,1020,0.2,rf,xgb,0.0007737171072771387,0.016757248517714318,-0.001174903552495006
S1,1001,0.3,rf,xgb,0.00013696375266136762,0.010038372933220074,-0.004384931645090899
S1,1002,0.3,rf,xgb,0.0004709943375021952,0.024841558440440947,-0.0006540750818112978
S1,1003,0.3,xgb,rf,0.00022047543211278775,-0.024452127908041965,0.0036779552306197005
S1,1004,0.3,xgb,rf,0.0010885777737811297,-0.011736581054813344,0.002174242297719897
S1,1005,0.3,xgb,rf,0.003630080510114597,-0.01606412380595368,0.002462366939526499
S1,1006,0.3,rf,xgb,0.0007859101344871444,0.038858583603320174,-0.0029001532507355043
S1,1007,0.3,xgb,rf,0.0012782290706766508,-0.011634614772778051,0.0044070630484664974
S1,1008,0.3,xgb,rf,0.0021828236195774453,-0.028296323409149504,0.003083960081171795
S1,1009,0.3,rf,xgb,8.546743766324472e-05,0.022861215785543898,-0.003028203877787801
S1,1010,0.3,xgb,rf,0.0024291008307754103,-0.026091547708420537,0.0018289291800872992
S1,1011,0.3,xgb,rf,0.0017386662925356067,-0.02198000436164338,0.0025206703071364994
S1,1012,0.3,rf,xgb,0.00093250393654698,0.01900481158193701,-0.003876224880063797
S1,1013,0.3,xgb,rf,0.00035725179100420945,-0.019134738168231358,0.002035296096685499
S1,1014,0.3,xgb,rf,0.0004540035924296415,-0.016960681679206002,0.004318709427510406
S1,1015,0.3,xgb,rf,0.00018218596809815857,-0.03908847357661932,0.0008184865512547018
S1,1016,0.3,xgb,rf,0.0030845942480359767,-0.003955912230054315,0.0019963833928849997
S1,1017,0.3,xgb,rf,0.0006026958977428665,-0.011823297216294826,0.0032642860418790956
S1,1018,0.3,xgb,rf,0.0015015963442533975,-0.021922277639398746,0.0021941593654196054
S1,1019,0.3,xgb,rf,0.0024575239618865874,-0.020569502215299296,0.002516528039539001
S1,1020,0.3,xgb,rf,0.001478769559436377,8.52810884122146e-05,0.0036285645954493018
S1,1001,0.4,rf,xgb,0.002543068592090969,0.03254742780232789,-0.005251003152249897
S1,1002,0.4,rf,xgb,0.000612505253653195,0.033908448526243806,-0.002393130097659596
S1,1003,0.4,rf,xgb,0.003659929195779177,0.02457893229723951,-0.005057089077681404
S1,1004,0.4,rf,xgb,0.0007313379292728239,0.03430701403762604,-0.003991493372939206
S1,1005,0.4,xgb,rf,0.004421558846509521,-0.009856541854052436,0.007467400958145298
S1,1006,0.4,xgb,rf,0.00018925126329316644,-0.0223836177690091,0.001985537938567608
S1,1007,0.4,xgb,rf,0.0014652081130865913,-0.01978974174066417,0.008636395132728805
S1,1008,0.4,rf,xgb,0.0016665505103696798,0.04102144061350432,-0.0023269452917733108
S1,1009,0.4,rf,xgb,0.0004571473283527805,0.0354821620330763,-0.0056380818442337
S1,1010,0.4,xgb,rf,0.001105518865581745,-0.013113706649083512,0.0045653260258946005
S1,1011,0.4,xgb,rf,0.0015661351809935775,-0.03979551335129822,0.0041153461316550954
S1,1012,0.4,xgb,rf,0.0003780105205494211,-0.022309698034660097,0.005599716833806209
S1,1013,0.4,rf,xgb,0.004697587841710038,0.03847648430520756,-0.004142389445564096
S1,1014,0.4,rf,xgb,0.00042886083918203255,0.02201223700348648,-0.0054730590782284955
S1,1015,0.4,rf,xgb,0.0004553938191181883,0.03929055917083113,-0.007170002859910804
S1,1016,0.4,rf,xgb,0.0016578005489203962,0.017238621245150076,-0.006247775069735506
S1,1017,0.4,rf,xgb,0.00023155288256959672,0.03387352669770394,-0.0014634999320362885
S1,1018,0.4,rf,xgb,0.0021876804959671814,0.030680167612612497,-0.004012598812326101
S1,1019,0.4,xgb,rf,0.002759322877984527,-0.042081209235750094,0.005274225381481909
S1,1020,0.4,rf,xgb,0.0005339994078109589,0.021753151549689598,-0.003614880868144904
S1,1001,0.5,rf,xgb,0.0005943769061260706,0.03717024416193443,-0.006170715141779401
S1,1002,0.5,rf,xgb,0.0020044656618986023,0.041323896462727105,-0.007798764705494704
S1,1003,0.5,rf,xgb,0.0005506593310447006,0.007319750696791361,-0.005188493513276701
S1,1004,0.5,xgb,rf,0.0021870350138200045,-0.01794679610439953,0.011204522635276007
S1,1005,0.5,xgb,rf,0.0013404608235429993,-0.024460890406305724,0.007885461654790593
S1,1006,0.5,xgb,rf,0.0015159879136328325,-0.021306602714757483,0.011363454695710096
S1,1007,0.5,rf,xgb,0.004766108720752227,0.0319762707910945,-0.010212153924369805
S1,1008,0.5,rf,xgb,0.002734778602618171,0.008972154994110804,-0.007369200157206504
S1,1009,0.5,xgb,rf,0.0012067022689274953,0.0001429358800691949,0.011379641719464095
S1,1010,0.5,rf,xgb,0.000370078886263836,0.02169012160865147,-0.009163992679447605
S1,1011,0.5,rf,xgb,0.00235905213777321,0.037495111451699814,-0.004706879141322506
S1,1012,0.5,xgb,rf,0.001358144257600613,-0.017150706360056778,0.007816268054494008
S1,1013,0.5,rf,xgb,0.0018091575071119692,0.027871469916759817,-0.0088014644061771
S1,1014,0.5,xgb,rf,0.0017697981149434883,-0.012993024633299377,0.008314122094781995
S1,1015,0.5,rf,xgb,0.004084079456396439,0.04072629233891206,-0.007125577353995896
S1,1016,0.5,rf,xgb,0.002671318407182044,0.018676352235031113,-0.010340458717673001
S1,1017,0.5,xgb,rf,0.0016915056490968139,0.010500136206063437,0.009195484164136
S1,1018,0.5,rf,xgb,0.0036955987439452054,0.051164660367763404,-0.0016538586949050027
S1,1019,0.5,xgb,rf,0.0028878764171461624,-0.02233363021212914,0.0099686536252752
S1,1020,0.5,rf,xgb,0.0006547308075142144,-0.011139792621774836,-0.012946392050962097
S2,1001,-1.0,xgb,extratrees,0.011079032411662193,0.03498959482639852,0.001960694204485202
S2,1002,-1.0,xgb,rf,0.00826292014156993,0.01878983847584903,0.001018053229408799
S2,1003,-1.0,xgb,rf,0.009915394342405737,0.02135636194198376,0.0010290554650452012
S2,1004,-1.0,xgb,rf,0.007722174075196375,0.0009254991043228245,0.0007806758280803974
S2,1005,-1.0,xgb,rf,0.010544051418712397,0.03476246336491906,0.0011718386840522
S2,1006,-1.0,xgb,rf,0.009015152472528376,0.015112817062410966,0.0010186956096929004
S2,1007,-1.0,xgb,rf,0.009701265579475815,0.012200898136645155,0.0010618938310377017
S2,1008,-1.0,xgb,rf,0.005953301324389981,0.009774713313948524,0.0009031058573075006
S2,1009,-1.0,xgb,rf,0.010031979493884347,0.03522476737336133,0.0014028558784174982
S2,1010,-1.0,xgb,rf,0.010394895731027254,0.013129175112376545,0.0009872550443276
S2,1011,-1.0,xgb,rf,0.010272713649436382,0.024430260314040386,0.0013687615687391005
S2,1012,-1.0,xgb,rf,0.008348173466210196,0.017753938780453837,0.0010477369470359016
S2,1013,-1.0,xgb,rf,0.009924049254168676,0.01951279427021202,0.0010422514143463985
S2,1014,-1.0,xgb,rf,0.007600695250734368,0.02541055166145012,0.0012591381708988991
S2,1015,-1.0,xgb,rf,0.011261011474612226,0.016140479007507702,0.000983505123727
S2,1016,-1.0,xgb,rf,0.009462467692772147,0.01535055547609776,0.0010112002437616986
S2,1017,-1.0,xgb,rf,0.011416982617633242,0.015124723480683167,0.0009409340146218984
S2,1018,-1.0,xgb,rf,0.00804432603743055,0.017338336297921253,0.0012102344521220006
S2,1019,-1.0,xgb,rf,0.014016952191896026,0.011000254524823116,0.0009605257680834998
S2,1020,-1.0,xgb,rf,0.009345513209384038,0.01591518764295541,0.0011918162614986995
S2,1001,0.1,xgb,rf,0.0020531717947886996,-0.016044494436142864,-0.0005653065232863012
S2,1002,0.1,xgb,rf,0.007310677252971187,0.001031462090732238,0.0002491486016843007
S2,1003,0.1,xgb,rf,0.007606373238336572,-0.0031894626041818475,0.00031170751146479894
S2,1004,0.1,xgb,rf,0.007012392742153262,-0.007162053513710909,-0.00012191485537599994
S2,1005,0.1,xgb,rf,0.005897132875080424,-0.008899867766501202,0.0003004757010960993
S2,1006,0.1,xgb,rf,0.006010425223232252,-0.012164714660462872,0.0003735677768142015
S2,1007,0.1,xgb,rf,0.0066604803439364035,0.013564938437077512,0.0007534374429420017
S2,1008,0.1,xgb,rf,0.005467406933024388,0.0006978164829379851,0.0002146249810091004
S2,1009,0.1,xgb,rf,0.0061499666749373905,0.0013620034876836717,0.00023052599563840037
S2,1010,0.1,xgb,extratrees,0.006004912658854056,0.019226547361496982,-0.0002930340081859009
S2,1011,0.1,xgb,rf,0.004915311707671899,-0.0029434760707229835,0.0005624119294424003
S2,1012,0.1,xgb,extratrees,0.002841283641806358,0.031207115631856852,-3.084284322549952e-05
S2,1013,0.1,xgb,extratrees,0.004261020220856948,0.00362212831069475,-0.0001935327444238001
S2,1014,0.1,xgb,extratrees,0.005980120013214796,-0.0004486985280807154,-0.0007747280588010011
S2,1015,0.1,xgb,rf,0.007085897059050161,0.002482642710848082,0.0013033077875629004
S2,1016,0.1,xgb,rf,0.0038101813872429835,-0.0077057823949447934,9.218892733209999e-05
S2,1017,0.1,xgb,rf,0.0051235765992445614,0.0012908468140482299,0.0006172709806415988
S2,1018,0.1,xgb,rf,0.004317658517179801,-0.00030398798455355536,0.00015923247959780118
S2,1019,0.1,xgb,rf,0.006848239782966337,-0.007531043562316597,0.000493530225367602
S2,1020,0.1,xgb,rf,0.0073950090674553826,0.011740735880625297,9.109195218090158e-05
S2,1001,0.2,xgb,rf,0.001982949529083955,-0.0013458703130597716,0.0004448038504664964
S2,1002,0.2,rf,xgb,9.938747680238169e-05,0.015314861103265742,0.00046951203531400004
S2,1003,0.2,xgb,rf,0.004281422777926425,-0.015051122461103628,0.0008009611676961029
S2,1004,0.2,xgb,rf,0.002422897373817734,-0.03984339652768959,0.002115756323164901
S2,1005,0.2,xgb,rf,0.0022739412224269673,-0.029755456916661593,-0.00033881426560269934
S2,1006,0.2,xgb,rf,0.004427330765402804,-0.00609275986747948,0.001403388101853302
S2,1007,0.2,xgb,rf,0.004074269449853007,0.004407444510326042,0.0012175112176062014
S2,1008,0.2,xgb,rf,0.002896274190886894,-0.025932642429431385,0.0006137738606596041
S2,1009,0.2,xgb,rf,0.0033457718554603666,-0.007079007267375537,-0.0005568079586832017
S2,1010,0.2,xgb,rf,0.004630661609020925,-0.026155899951139205,-0.00044723981804389856
S2,1011,0.2,xgb,rf,0.002740500947854607,-0.004069170296988944,0.0002811815285168051
S2,1012,0.2,xgb,rf,0.003996512292923637,-0.0019149661321530287,0.00011044883867350475
S2,1013,0.2,xgb,rf,0.0034164398624784154,-0.008697115570469371,0.0013082540458273992
S2,1014,0.2,xgb,rf,0.004225884365184784,-0.005596020977760574,0.0016019685946795023
S2,1015,0.2,xgb,rf,0.00335133430960477,0.0016126278063798294,0.0015166252786987036
S2,1016,0.2,xgb,rf,0.002899590936257579,-0.014219478706047561,0.00021626379800190193
S2,1017,0.2,xgb,rf,0.004486564883678157,-0.0057945976078099815,0.0016482753337600034
S2,1018,0.2,xgb,rf,0.003400933968362163,-0.01668691480897344,-0.00018546406358700002
S2,1019,0.2,xgb,rf,0.0035388865382000034,-0.03120571402865696,0.0005640575576075016
S2,1020,0.2,xgb,rf,0.0031666045156808487,-0.024161646009356663,0.0015535817254544032
S2,1001,0.3,rf,extratrees,0.0037881902325064276,0.03084047705778742,0.0004470770148794004
S2,1002,0.3,xgb,rf,0.00024707331006401656,-0.03358237400226455,0.0012299284860307
S2,1003,0.3,xgb,rf,0.0007241689855234101,-0.005732757574852532,0.0009647388924031025
S2,1004,0.3,xgb,rf,0.0010196987367875332,-0.013633330190678916,0.003275733458682699
S2,1005,0.3,xgb,rf,0.0004203581404144119,-0.016319595917128504,0.002217122274227906
S2,1006,0.3,xgb,rf,0.0017227862965962792,-0.030082808056849375,0.002695549196583602
S2,1007,0.3,xgb,rf,0.0009081871898213301,-0.01760350886845663,0.001308998213228503
S2,1008,0.3,xgb,rf,0.0019067546300522986,-0.008232519534918104,0.002788148430707002
S2,1009,0.3,xgb,rf,0.0007415914044165417,-0.02825676467275151,0.002173632485159699
S2,1010,0.3,xgb,rf,0.0014037304229581604,-0.017269509217438028,0.0009596034582564986
S2,1011,0.3,rf,xgb,0.0014947120137491776,0.01814218917575483,0.0026213369493032004
S2,1012,0.3,xgb,rf,0.0016875186419608168,0.0001627869107924118,0.0014629673176923957
S2,1013,0.3,xgb,rf,0.004621081697648188,-0.000909577329504585,0.000950927457317903
S2,1014,0.3,rf,xgb,0.0015393422353972008,0.03683865909965761,-0.0005803704773811938
S2,1015,0.3,xgb,rf,0.004593910742406226,-0.0021257917861819964,0.0023301245099374007
S2,1016,0.3,rf,xgb,0.001279257237993603,0.010572539836803452,-0.0037364109670102036
S2,1017,0.3,xgb,rf,0.0024605679924768475,-0.016708745633420397,0.0032542379679746034
S2,1018,0.3,xgb,rf,0.0015840569860985365,-0.012743099341233799,0.0035034119200820987
S2,1019,0.3,xgb,rf,0.0024700306489338075,-0.0341803504031547,0.000644810252975199
S2,1020,0.3,xgb,rf,0.003443517933580331,-0.015282760304748844,0.0042271870761433974
S2,1001,0.4,rf,xgb,0.001047016307085591,0.014755811190725998,-0.006055484493698693
S2,1002,0.4,rf,xgb,0.00034341555648487176,0.03202997177614969,-0.004247256088055706
S2,1003,0.4,xgb,rf,0.00019876320348366505,-0.006948737371713698,0.0058623114300555
S2,1004,0.4,xgb,rf,0.0010938687203626563,-0.021117456041543414,0.005699917281405897
S2,1005,0.4,xgb,rf,0.0010633267557226267,-0.019089532421249222,0.00633016113782911
S2,1006,0.4,xgb,rf,0.0006142656665633073,-0.022193942113187815,0.004614122523513897
S2,1007,0.4,xgb,rf,0.0008122050937265923,-0.014949980585325262,0.008342763642238904
S2,1008,0.4,xgb,rf,0.0024048612054907714,-0.017619220819049763,0.0073507902382110996
S2,1009,0.4,rf,xgb,0.0005784837128218756,-0.0019472350970203833,-0.002561287207577298
S2,1010,0.4,rf,xgb,0.00018032907839482526,0.017916932431527366,-0.0009879947213557033
S2,1011,0.4,xgb,rf,0.0008988339858956307,-0.027494712056100823,0.0017359304898832972
S2,1012,0.4,rf,xgb,0.0008964511006653852,0.015997455817928607,-0.0012056948759202046
S2,1013,0.4,xgb,rf,0.0012106515236771642,-0.022848907182723754,0.0037916008941560053
S2,1014,0.4,xgb,rf,0.0010761870296205345,-0.02222512828018519,0.006508406903305106
S2,1015,0.4,rf,xgb,0.00039403726234177316,0.029849964375503135,-0.003940895576481196
S2,1016,0.4,xgb,rf,0.00011389676451700748,-0.018380526406556297,0.003743567496551997
S2,1017,0.4,xgb,rf,0.001140788209778587,-0.013832181638635421,0.007051644947989988
S2,1018,0.4,xgb,rf,0.0012894239099046079,-0.0076728662888218,0.004590120305752204
S2,1019,0.4,rf,xgb,0.0016603814178309806,0.041982815187964706,-0.004592847483362902
S2,1020,0.4,xgb,rf,0.00038193622856919074,-0.03646784050406837,0.005899582517629301
S2,1001,0.5,xgb,rf,0.0016089714233392671,-0.0164073427426073,0.012460137122346102
S2,1002,0.5,rf,xgb,0.0026641481546911816,0.03388868630410119,-0.0073143791477003894
S2,1003,0.5,rf,xgb,0.001379680578913134,0.0058055736087215815,-0.011251501109539097
S2,1004,0.5,xgb,rf,0.0008270477664630294,-0.021769420479484325,0.0116039089314416
S2,1005,0.5,xgb,rf,0.0005540037589466529,-0.01959068631030303,0.0087720523285678
S2,1006,0.5,xgb,rf,0.0031186349451550743,-0.03037076457326493,0.013978365973936702
S2,1007,0.5,xgb,rf,0.0005026697238242894,-0.002069070738037415,0.009552338068563704
S2,1008,0.5,xgb,rf,0.0014420526186950111,0.01869535761934832,0.007673631403822004
S2,1009,0.5,xgb,rf,0.0021460751107595932,-0.02747961437324259,0.005938006196231901
S2,1010,0.5,xgb,rf,0.0015727010993685786,-0.01263080170576536,0.010488745707004199
S2,1011,0.5,rf,xgb,0.0019860733098949757,0.03261981736580449,-0.006272384397123007
S2,1012,0.5,rf,xgb,0.0008385374983328475,0.03743504190281771,-0.005145298193729303
S2,1013,0.5,rf,xgb,0.0014883134127176012,0.0218802633704282,-0.0018536726346697063
S2,1014,0.5,xgb,rf,0.0020792021005218153,-0.030495257878278392,0.009965375203117494
S2,1015,0.5,xgb,rf,0.003483003695534448,0.011880605005198386,0.008406232229330304
S2,1016,0.5,rf,xgb,0.0011043669035127879,0.011460414877574376,-0.009600884635992304
S2,1017,0.5,xgb,rf,0.0012707970486773856,-0.028139573219096214,0.008383390876483793
S2,1018,0.5,rf,xgb,0.000373801141951402,0.009133182765675485,-0.004583474539930091
S2,1019,0.5,rf,xgb,0.0017036901596223508,0.02558885964011759,-0.011917415668315293
S2,1020,0.5,xgb,rf,0.0003665411507519645,-0.011586775589033205,0.0070912215584472
